"","value","value"
"86","Nortriptyline","Acute coronary syndrome"
"87","Nortriptyline","Oropharyngeal discomfort"
"88","Nortriptyline","Hepatic necrosis"
"89","Nortriptyline","Psychotic disorder"
"90","Nortriptyline","Ill-defined disorder"
"91","Nortriptyline","Urticaria"
"92","Nortriptyline","Tension"
"93","Nortriptyline","Hepatic function abnormal"
"94","Nortriptyline","Suicidal ideation"
"95","Nortriptyline","Tremor"
"96","Nortriptyline","Extrapyramidal disorder"
"97","Nortriptyline","Tinnitus"
"98","Nortriptyline","Diarrhoea"
"99","Nortriptyline","Numbness"
"100","Nortriptyline","Orthostatic hypotension"
"101","Nortriptyline","Pollakiuria"
"102","Nortriptyline","Appetite absent"
"103","Nortriptyline","Electrocardiogram QRS complex"
"104","Nortriptyline","Ventricular fibrillation"
"105","Nortriptyline","Sweating increased"
"106","Nortriptyline","Malaise"
"107","Nortriptyline","Angle closure glaucoma"
"108","Nortriptyline","Vision blurred"
"109","Nortriptyline","Extrapyramidal symptoms"
"110","Nortriptyline","Paresthesia of limbs"
"111","Nortriptyline","Palpitations"
"112","Nortriptyline","Bone marrow depression"
"113","Nortriptyline","Constipation"
"114","Nortriptyline","Swollen tongue"
"115","Nortriptyline","Hallucination"
"116","Nortriptyline","Hepatitis"
"117","Nortriptyline","Oedema peripheral"
"118","Nortriptyline","Weight increased"
"119","Nortriptyline","Decreased appetite"
"120","Nortriptyline","Electrocardiogram QT prolonged"
"121","Nortriptyline","Ataxia"
"122","Nortriptyline","Atrioventricular block"
"123","Nortriptyline","Headache"
"124","Nortriptyline","Tingling sensation"
"125","Nortriptyline","Loss of libido"
"126","Nortriptyline","Intraocular pressure increased"
"127","Nortriptyline","Throat sore"
"128","Nortriptyline","Feeling abnormal"
"129","Nortriptyline","Irritability"
"130","Nortriptyline","Taste peculiar"
"131","Nortriptyline","Parotid swelling"
"132","Nortriptyline","Tongue discolouration"
"133","Nortriptyline","Oedema"
"134","Nortriptyline","Neuropathy peripheral"
"135","Nortriptyline","Galactorrhoea"
"136","Nortriptyline","Gingivitis"
"137","Nortriptyline","Nocturia"
"138","Nortriptyline","Dyspepsia"
"139","Nortriptyline","Hypoaesthesia"
"140","Nortriptyline","Disorientation"
"141","Nortriptyline","Body temperature increased"
"142","Nortriptyline","Delirium"
"143","Nortriptyline","Asthenia"
"144","Nortriptyline","Confusional state"
"145","Nortriptyline","Breast enlargement"
"146","Nortriptyline","Gynaecomastia"
"147","Nortriptyline","Nightmare"
"148","Nortriptyline","QRS complex"
"149","Nortriptyline","Block heart"
"150","Nortriptyline","Shock"
"151","Nortriptyline","Lymphadenitis"
"152","Nortriptyline","Dermatitis atopic"
"153","Nortriptyline","Torsade de pointes"
"154","Nortriptyline","Dermatitis"
"155","Nortriptyline","Cholestasis"
"156","Nortriptyline","Hypotension"
"157","Nortriptyline","Myocardial infarction"
"158","Nortriptyline","Libido decreased"
"159","Nortriptyline","Convulsion"
"160","Nortriptyline","Purpura"
"161","Nortriptyline","Tongue disorder"
"162","Nortriptyline","Sensory loss"
"163","Nortriptyline","Vomiting"
"164","Nortriptyline","Pancytopenia"
"165","Nortriptyline","Delusion"
"166","Nortriptyline","Inappropriate antidiuretic hormone secretion"
"167","Nortriptyline","Eosinophilia"
"168","Nortriptyline","Heart rate irregular"
"169","Nortriptyline","Rash"
"170","Nortriptyline","Coordination abnormal"
"171","Nortriptyline","Abdominal cramps"
"172","Nortriptyline","Vascular purpura"
"173","Nortriptyline","Cerebrovascular accident"
"174","Nortriptyline","Hyperhidrosis"
"175","Nortriptyline","Nervousness"
"176","Nortriptyline","Abdominal pain"
"177","Nortriptyline","Disturbance in sexual arousal"
"178","Nortriptyline","Adenitis"
"179","Nortriptyline","Sweating"
"180","Nortriptyline","Drug withdrawal syndrome"
"181","Nortriptyline","Nausea"
"182","Nortriptyline","Cutaneous hypersensitivity"
"183","Nortriptyline","Erectile dysfunction"
"184","Nortriptyline","Arrhythmia"
"185","Nortriptyline","Drug fever"
"186","Nortriptyline","Syncope"
"187","Nortriptyline","Ventricular tachycardia"
"188","Nortriptyline","Thrombocytopenia"
"189","Nortriptyline","Mydriasis"
"190","Nortriptyline","Discomfort"
"191","Nortriptyline","Electrocardiogram QT corrected interval prolonged"
"192","Nortriptyline","Petechiae"
"193","Nortriptyline","Withdrawal symptom"
"194","Nortriptyline","Panic reaction"
"195","Nortriptyline","Agitation"
"196","Nortriptyline","Insomnia"
"197","Nortriptyline","Clumsiness"
"198","Nortriptyline","Alopecia"
"199","Nortriptyline","Weight decreased"
"200","Nortriptyline","Leukopenia"
"201","Nortriptyline","Accommodation disorder"
"202","Nortriptyline","Yellow skin"
"203","Nortriptyline","Dizziness"
"204","Nortriptyline","Jaundice"
"205","Nortriptyline","Dry mouth"
"206","Nortriptyline","Pruritus"
"207","Nortriptyline","Somnolence"
"208","Nortriptyline","Eye disorder"
"209","Nortriptyline","Agranulocytosis"
"210","Nortriptyline","Anxiety"
"211","Nortriptyline","Eye pain"
"212","Nortriptyline","Hypersensitivity"
"213","Nortriptyline","Parotid gland enlargement"
"214","Nortriptyline","Loss of consciousness"
"215","Nortriptyline","Drowsiness"
"216","Nortriptyline","Hypertension"
"217","Nortriptyline","Fatigue"
"218","Nortriptyline","Epigastric distress"
"219","Nortriptyline","Aplastic anaemia"
"220","Nortriptyline","Hypomania"
"221","Nortriptyline","Bundle branch block"
"222","Nortriptyline","Urinary retention"
"223","Nortriptyline","Paraesthesia"
"224","Nortriptyline","Dysgeusia"
"225","Nortriptyline","Testicular swelling"
"226","Nortriptyline","Flushing"
"227","Nortriptyline","Tongue oedema"
"228","Nortriptyline","Stomatitis"
"229","Nortriptyline","Hot flush"
"230","Nortriptyline","Black hairy tongue"
"231","Nortriptyline","Conduction disorder"
"232","STUB1","transmembrane receptor protein serine/threonine kinase signaling pathway"
"233","STUB1","lymph node"
"234","STUB1","Alpha-synuclein signaling"
"235","STUB1","Class I MHC mediated antigen processing & presentation"
"236","STUB1","Signaling by ERBB2"
"237","STUB1","Loss of Function of SMAD2/3 in Cancer"
"238","STUB1","Immune System"
"239","STUB1","Disease"
"240","STUB1","Androgen receptor signaling pathway"
"241","STUB1","Parkin-Ubiquitin Proteasomal System pathway"
"242","STUB1","Adaptive Immune System"
"243","STUB1","Signaling Pathways"
"244","STUB1","Downregulation of TGF-beta receptor signaling"
"245","STUB1","TGF-beta receptor signaling activates SMADs"
"246","STUB1","Antigen processing: Ubiquitination & Proteasome degradation"
"247","STUB1","Varenicline"
"248","STUB1","Nortriptyline"
"249","ZWINT","organelle fission"
"250","ZWINT","lymph node"
"251","ZWINT","Separation of Sister Chromatids"
"252","ZWINT","M Phase"
"253","ZWINT","Cell Cycle, Mitotic"
"254","ZWINT","Mitotic Metaphase and Anaphase"
"255","ZWINT","Mitotic Anaphase"
"256","ZWINT","Mitotic Prometaphase"
"257","ZWINT","Cell Cycle"
"258","ZWINT","Mitotic M-M/G1 phases"
"259","ZWINT","Resolution of Sister Chromatid Cohesion"
"260","ZWINT","Varenicline"
"261","ZWINT","Nortriptyline"
"262","DLD","male gamete generation"
"263","DLD","lymph node"
"264","DLD","Flavin adenine dinucleotide"
"265","DLD","Lysine catabolism"
"266","DLD","Metabolism"
"267","DLD","Glycolysis and Gluconeogenesis"
"268","DLD","Citric acid cycle (TCA cycle)"
"269","DLD","The citric acid (TCA) cycle and respiratory electron transport"
"270","DLD","TCA Cycle and PDHc"
"271","DLD","Amino acid and derivative metabolism"
"272","DLD","Regulation of pyruvate dehydrogenase (PDH) complex"
"273","DLD","Branched-chain amino acid catabolism"
"274","DLD","Fatty Acid Beta Oxidation"
"275","DLD","Pyruvate metabolism"
"276","DLD","Pyruvate metabolism and Citric Acid (TCA) cycle"
"277","DLD","TCA Cycle"
"278","DLD","Bupropion"
"279","DLD","Nortriptyline"
"280","DPH2","peptidyl-histidine modification"
"281","DPH2","lymph node"
"282","DPH2","Nortriptyline"
"283","TUBB6","'de novo' protein folding"
"284","TUBB6","lymph node"
"285","TUBB6","Ixabepilone"
"286","TUBB6","Vinblastine"
"287","TUBB6","Cabazitaxel"
"288","TUBB6","Vincristine"
"289","TUBB6","Eribulin"
"290","TUBB6","Vinorelbine"
"291","TUBB6","Docetaxel"
"292","TUBB6","Paclitaxel"
"293","TUBB6","Prefoldin mediated transfer of substrate to CCT/TriC"
"294","TUBB6","Cooperation of Prefoldin and TriC/CCT in actin and tubulin folding"
"295","TUBB6","Chaperonin-mediated protein folding"
"296","TUBB6","Post-chaperonin tubulin folding pathway"
"297","TUBB6","Pathogenic Escherichia coli infection"
"298","TUBB6","Protein folding"
"299","TUBB6","Formation of tubulin folding intermediates by CCT/TriC"
"300","TUBB6","Metabolism of proteins"
"301","TUBB6","Parkin-Ubiquitin Proteasomal System pathway"
"302","TUBB6","Transmembrane transport of small molecules"
"303","TUBB6","Orphan transporters"
"304","TUBB6","Nortriptyline"
"305","PCNA","detection of stimulus"
"306","PCNA","lymph node"
"307","PCNA","Retinoblastoma (RB) in Cancer"
"308","PCNA","Senescence and Autophagy in Cancer"
"309","PCNA","Gap-filling DNA repair synthesis and ligation in GG-NER"
"310","PCNA","DNA strand elongation"
"311","PCNA","Processive synthesis on the lagging strand"
"312","PCNA","Transcription-coupled NER (TC-NER)"
"313","PCNA","Primary Focal Segmental Glomerulosclerosis FSGS"
"314","PCNA","Removal of the Flap Intermediate"
"315","PCNA","Repair synthesis for gap-filling by DNA polymerase in TC-NER"
"316","PCNA","Telomere Maintenance"
"317","PCNA","Telomere C-strand (Lagging Strand) Synthesis"
"318","PCNA","Cell Cycle, Mitotic"
"319","PCNA","Extension of Telomeres"
"320","PCNA","Integrated Pancreatic Cancer Pathway"
"321","PCNA","Base Excision Repair"
"322","PCNA","Leading Strand Synthesis"
"323","PCNA","Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha)"
"324","PCNA","Processive synthesis on the C-strand of the telomere"
"325","PCNA","S Phase"
"326","PCNA","Mitotic G1-G1/S phases"
"327","PCNA","EGF/EGFR Signaling Pathway"
"328","PCNA","Nucleotide Excision Repair"
"329","PCNA","Removal of DNA patch containing abasic residue"
"330","PCNA","G1 to S cell cycle control"
"331","PCNA","G1/S Transition"
"332","PCNA","Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta)"
"333","PCNA","Cell Cycle"
"334","PCNA","Lagging Strand Synthesis"
"335","PCNA","G1/S-Specific Transcription"
"336","PCNA","Mismatch repair"
"337","PCNA","DNA Repair"
"338","PCNA","Validated nuclear estrogen receptor alpha network"
"339","PCNA","Removal of the Flap Intermediate from the C-strand"
"340","PCNA","Direct p53 effectors"
"341","PCNA","G0 and Early G1"
"342","PCNA","E2F mediated regulation of DNA replication"
"343","PCNA","Synthesis of DNA"
"344","PCNA","Global Genomic NER (GG-NER)"
"345","PCNA","DNA Replication"
"346","PCNA","DNA Replication"
"347","PCNA","Cell Cycle"
"348","PCNA","MMR"
"349","PCNA","Chromosome Maintenance"
"350","PCNA","BARD1 signaling events"
"351","PCNA","Nortriptyline"
"352","TYMS","deoxyribonucleoside monophosphate metabolic process"
"353","TYMS","lymph node"
"354","TYMS","Fluorouracil"
"355","TYMS","Raltitrexed"
"356","TYMS","Pemetrexed"
"357","TYMS","Leucovorin"
"358","TYMS","Methotrexate"
"359","TYMS","Capecitabine"
"360","TYMS","Trimethoprim"
"361","TYMS","Pralatrexate"
"362","TYMS","Gemcitabine"
"363","TYMS","Trifluridine"
"364","TYMS","Floxuridine"
"365","TYMS","Retinoblastoma (RB) in Cancer"
"366","TYMS","Metabolism"
"367","TYMS","Cell Cycle, Mitotic"
"368","TYMS","Integrated Pancreatic Cancer Pathway"
"369","TYMS","Fluoropyrimidine Activity"
"370","TYMS","E2F transcription factor network"
"371","TYMS","Pyrimidine metabolism"
"372","TYMS","Trans-sulfuration and one carbon metabolism"
"373","TYMS","Mitotic G1-G1/S phases"
"374","TYMS","Pyrimidine biosynthesis"
"375","TYMS","G1/S Transition"
"376","TYMS","G1/S-Specific Transcription"
"377","TYMS","Nucleotide metabolism"
"378","TYMS","One Carbon Metabolism"
"379","TYMS","Circadian rythm related genes"
"380","TYMS","E2F mediated regulation of DNA replication"
"381","TYMS","Cell Cycle"
"382","TYMS","Nortriptyline"
"383","NUP85","Nortriptyline"
"384","NUP85","HIV Infection"
"385","NUP85","Influenza Viral RNA Transcription and Replication"
"386","NUP85","Nuclear Envelope Breakdown"
"387","NUP85","Separation of Sister Chromatids"
"388","NUP85","Regulatory RNA pathways"
"389","NUP85","Resolution of Sister Chromatid Cohesion"
"390","NUP85","Nuclear Pore Complex (NPC) Disassembly"
"391","NUP85","Mitotic M-M/G1 phases"
"392","NUP85","Cell Cycle"
"393","NUP85","Influenza Infection"
"394","NUP85","Mitotic Prometaphase"
"395","NUP85","Mitotic Prophase"
"396","NUP85","Interactions of Vpr with host cellular proteins"
"397","NUP85","Export of Viral Ribonucleoproteins from Nucleus"
"398","NUP85","Transmembrane transport of small molecules"
"399","NUP85","Nuclear import of Rev protein"
"400","NUP85","Transport of Mature mRNAs Derived from Intronless Transcripts"
"401","NUP85","Metabolism of RNA"
"402","NUP85","Glucose transport"
"403","NUP85","Influenza Life Cycle"
"404","NUP85","Cytokine Signaling in Immune system"
"405","NUP85","NEP/NS2 Interacts with the Cellular Export Machinery"
"406","NUP85","Processing of Capped Intron-Containing Pre-mRNA"
"407","NUP85","Transport of the SLBP independent Mature mRNA"
"408","NUP85","Vpr-mediated nuclear import of PICs"
"409","NUP85","Mitotic Anaphase"
"410","NUP85","Disease"
"411","NUP85","Immune System"
"412","NUP85","Transcriptional regulation by small RNAs"
"413","NUP85","Carbohydrate metabolism"
"414","NUP85","Transport of Mature Transcript to Cytoplasm"
"415","NUP85","Integrated Breast Cancer Pathway"
"416","NUP85","Viral Messenger RNA Synthesis"
"417","NUP85","Antiviral mechanism by IFN-stimulated genes"
"418","NUP85","Mitotic Metaphase and Anaphase"
"419","NUP85","Regulation of Glucokinase by Glucokinase Regulatory Protein"
"420","NUP85","Rev-mediated nuclear export of HIV RNA"
"421","NUP85","Interferon Signaling"
"422","NUP85","Interactions of Rev with host cellular proteins"
"423","NUP85","HIV Life Cycle"
"424","NUP85","Cell Cycle, Mitotic"
"425","NUP85","M Phase"
"426","NUP85","Late Phase of HIV Life Cycle"
"427","NUP85","Gene Expression"
"428","NUP85","Transport of Mature mRNA Derived from an Intronless Transcript"
"429","NUP85","Hexose uptake"
"430","NUP85","Host Interactions of HIV factors"
"431","NUP85","Transport of Ribonucleoproteins into the Host Nucleus"
"432","NUP85","Transport of Mature mRNA derived from an Intron-Containing Transcript"
"433","NUP85","Metabolism"
"434","NUP85","Transport of the SLBP Dependant Mature mRNA"
"435","NUP85","SLC-mediated transmembrane transport"
"436","NUP85","Non-coding RNA Metabolism"
"437","NUP85","lymph node"
"438","NUP85","localization of cell"
"439","MRPS16","mitochondrial translational elongation"
"440","MRPS16","lymph node"
"441","MRPS16","Mitochondrial translation"
"442","MRPS16","Mitochondrial translation initiation"
"443","MRPS16","Mitochondrial translation termination"
"444","MRPS16","Organelle biogenesis and maintenance"
"445","MRPS16","Mitochondrial translation elongation"
"446","MRPS16","Varenicline"
"447","MRPS16","Nortriptyline"
"448","MYC","Nortriptyline"
"449","MYC","Bupropion"
"450","MYC","MAPK Signaling Pathway"
"451","MYC","Retinoblastoma (RB) in Cancer"
"452","MYC","p38 MAPK Signaling Pathway"
"453","MYC","FBXW7 Mutants and NOTCH1 in Cancer"
"454","MYC","Regulation of nuclear beta catenin signaling and target gene transcription"
"455","MYC","IL2-mediated signaling events"
"456","MYC","formation of the beta-catenin:TCF transactivating complex"
"457","MYC","Bladder Cancer"
"458","MYC","TGF-beta Signaling Pathway"
"459","MYC","Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer"
"460","MYC","NOTCH1 Intracellular Domain Regulates Transcription"
"461","MYC","Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants"
"462","MYC","IL-2 Signaling Pathway"
"463","MYC","Gene Expression"
"464","MYC","ErbB Signaling Pathway"
"465","MYC","miRNAs involved in DNA damage response"
"466","MYC","DNA Damage Response"
"467","MYC","Wnt Signaling Pathway Netpath"
"468","MYC","Cell Cycle, Mitotic"
"469","MYC","Regulation of Telomerase"
"470","MYC","Integrated Pancreatic Cancer Pathway"
"471","MYC","IL-7 Signaling Pathway"
"472","MYC","FOXM1 transcription factor network"
"473","MYC","LKB1 signaling events"
"474","MYC","TSLP Signaling Pathway"
"475","MYC","E2F transcription factor network"
"476","MYC","miRNA Regulation of DNA Damage Response"
"477","MYC","IL2 signaling events mediated by PI3K"
"478","MYC","Validated targets of C-MYC transcriptional activation"
"479","MYC","AP-1 transcription factor network"
"480","MYC","Metastatic brain tumor"
"481","MYC","S Phase"
"482","MYC","C-MYB transcription factor network"
"483","MYC","Integrated Cancer Pathway"
"484","MYC","Presenilin action in Notch and Wnt signaling"
"485","MYC","Ectoderm Differentiation"
"486","MYC","Signaling by Wnt"
"487","MYC","Gastric Cancer Network 2"
"488","MYC","Cell Cycle"
"489","MYC","Neural Crest Differentiation"
"490","MYC","Generic Transcription Pathway"
"491","MYC","RNF mutants show enhanced WNT signaling and proliferation"
"492","MYC","p73 transcription factor network"
"493","MYC","SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription"
"494","MYC","Validated targets of C-MYC transcriptional repression"
"495","MYC","Wnt Signaling Pathway and Pluripotency"
"496","MYC","Signaling by WNT in cancer"
"497","MYC","TP53 Network"
"498","MYC","C-MYC pathway"
"499","MYC","Validated nuclear estrogen receptor alpha network"
"500","MYC","IL2 signaling events mediated by STAT5"
"501","MYC","Ceramide signaling pathway"
"502","MYC","Signaling Pathways"
"503","MYC","Regulation of nuclear SMAD2/3 signaling"
"504","MYC","Cyclin E associated events during G1/S transition"
"505","MYC","TCF dependent signaling in response to WNT"
"506","MYC","Signaling by NOTCH"
"507","MYC","PPAR Alpha Pathway"
"508","MYC","Hair Follicle Development: Induction (Part 1 of 3)"
"509","MYC","Rac1/Pak1/p38/MMP-2 pathway"
"510","MYC","B Cell Receptor Signaling Pathway"
"511","MYC","Cyclin A:Cdk2-associated events at S phase entry"
"512","MYC","Notch signaling pathway"
"513","MYC","Aryl Hydrocarbon Receptor"
"514","MYC","DNA Damage Response (only ATM dependent)"
"515","MYC","Disease"
"516","MYC","G1/S Transition"
"517","MYC","IL-5 Signaling Pathway"
"518","MYC","G1 to S cell cycle control"
"519","MYC","Notch Signaling Pathway"
"520","MYC","Integrated Breast Cancer Pathway"
"521","MYC","Spinal Cord Injury"
"522","MYC","Imatinib Resistance in Chronic Myeloid Leukemia"
"523","MYC","binding of TCF/LEF:CTNNB1 to target gene promoters"
"524","MYC","Mitotic G1-G1/S phases"
"525","MYC","Wnt Signaling Pathway"
"526","MYC","CD40/CD40L signaling"
"527","MYC","IL6-mediated signaling events"
"528","MYC","Loss of Function of SMAD2/3 in Cancer"
"529","MYC","TSH signaling pathway"
"530","MYC","Apoptosis"
"531","MYC","PDGFR-beta signaling pathway"
"532","MYC","lymph node"
"533","MYC","positive regulation of epithelial cell proliferation"
"534","CDC20","negative regulation of mitotic metaphase/anaphase transition"
"535","CDC20","lymph node"
"536","CDC20","Separation of Sister Chromatids"
"537","CDC20","APC/C:Cdc20 mediated degradation of mitotic proteins"
"538","CDC20","PLK1 signaling events"
"539","CDC20","Class I MHC mediated antigen processing & presentation"
"540","CDC20","APC/C:Cdc20 mediated degradation of Cyclin B"
"541","CDC20","M Phase"
"542","CDC20","Cell Cycle, Mitotic"
"543","CDC20","Cdc20:Phospho-APC/C mediated degradation of Cyclin A"
"544","CDC20","Mitotic Metaphase and Anaphase"
"545","CDC20","Mitotic Spindle Checkpoint"
"546","CDC20","APC/C:Cdc20 mediated degradation of Securin"
"547","CDC20","Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase"
"548","CDC20","Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins"
"549","CDC20","Immune System"
"550","CDC20","Mitotic Anaphase"
"551","CDC20","APC/C-mediated degradation of cell cycle proteins"
"552","CDC20","Cell Cycle Checkpoints"
"553","CDC20","Cell Cycle"
"554","CDC20","APC-Cdc20 mediated degradation of Nek2A"
"555","CDC20","Adaptive Immune System"
"556","CDC20","Regulation of APC/C activators between G1/S and early anaphase"
"557","CDC20","APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1"
"558","CDC20","SCF-beta-TrCP mediated degradation of Emi1"
"559","CDC20","Mitotic Prometaphase"
"560","CDC20","Phosphorylation of Emi1"
"561","CDC20","Cell Cycle"
"562","CDC20","Antigen processing: Ubiquitination & Proteasome degradation"
"563","CDC20","Inactivation of APC/C via direct inhibition of the APC/C complex"
"564","CDC20","Mitotic M-M/G1 phases"
"565","CDC20","Resolution of Sister Chromatid Cohesion"
"566","CDC20","Varenicline"
"567","CDC20","Nortriptyline"
"568","TSPAN4","lymph node"
"569","TSPAN4","Varenicline"
"570","TSPAN4","Nortriptyline"
"571","SDHB","carboxylic acid metabolic process"
"572","SDHB","lymph node"
"573","SDHB","Succinic acid"
"574","SDHB","Metabolism"
"575","SDHB","Citric acid cycle (TCA cycle)"
"576","SDHB","The citric acid (TCA) cycle and respiratory electron transport"
"577","SDHB","Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins."
"578","SDHB","Electron Transport Chain"
"579","SDHB","Respiratory electron transport"
"580","SDHB","Pyruvate metabolism and Citric Acid (TCA) cycle"
"581","SDHB","TCA Cycle"
"582","SDHB","Bupropion"
"583","SDHB","Varenicline"
"584","SDHB","Nortriptyline"
"585","MRPS7","ribonucleoprotein complex biogenesis"
"586","MRPS7","lymph node"
"587","MRPS7","Mitochondrial translation"
"588","MRPS7","Mitochondrial translation initiation"
"589","MRPS7","Mitochondrial translation termination"
"590","MRPS7","Organelle biogenesis and maintenance"
"591","MRPS7","Mitochondrial translation elongation"
"592","MRPS7","Nortriptyline"
"593","MRPS2","xenophagy"
"594","MRPS2","lymph node"
"595","MRPS2","Nortriptyline"
"596","TIMM9","protein localization to mitochondrion"
"597","TIMM9","lymph node"
"598","TIMM9","Metabolism of proteins"
"599","TIMM9","Mitochondrial protein import"
"600","TIMM9","Nortriptyline"
"601","TM9SF3","lymph node"
"602","TM9SF3","Nortriptyline"
"603","DNTTIP2","pancreas"
"604","DNTTIP2","Nortriptyline"
"605","IFRD2","lymph node"
"606","IFRD2","Nortriptyline"
"607","MRPL12","mitochondrial translational elongation"
"608","MRPL12","lymph node"
"609","MRPL12","Mitochondrial translation"
"610","MRPL12","Mitochondrial translation initiation"
"611","MRPL12","Mitochondrial translation termination"
"612","MRPL12","Organelle biogenesis and maintenance"
"613","MRPL12","Mitochondrial translation elongation"
"614","MRPL12","Varenicline"
"615","MRPL12","Nortriptyline"
"616","HDAC2","limb development"
"617","HDAC2","lymph node"
"618","HDAC2","Oxtriphylline"
"619","HDAC2","Valproic Acid"
"620","HDAC2","Vorinostat"
"621","HDAC2","Lovastatin"
"622","HDAC2","Theophylline"
"623","HDAC2","Aminophylline"
"624","HDAC2","FBXW7 Mutants and NOTCH1 in Cancer"
"625","HDAC2","Regulation of nuclear beta catenin signaling and target gene transcription"
"626","HDAC2","NoRC negatively regulates rRNA expression"
"627","HDAC2","RNA Polymerase I, RNA Polymerase III, and Mitochondrial Transcription"
"628","HDAC2","Hedgehog signaling events mediated by Gli proteins"
"629","HDAC2","RNA Polymerase I Transcription"
"630","HDAC2","NOTCH1 Intracellular Domain Regulates Transcription"
"631","HDAC2","Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants"
"632","HDAC2","Gene Expression"
"633","HDAC2","Epigenetic regulation of gene expression"
"634","HDAC2","Glucocorticoid receptor regulatory network"
"635","HDAC2","Regulation of Telomerase"
"636","HDAC2","RNA Polymerase I Transcription Initiation"
"637","HDAC2","HDACs deacetylate histones"
"638","HDAC2","RNA Polymerase I Promoter Clearance"
"639","HDAC2","Transcription"
"640","HDAC2","p75 NTR receptor-mediated signalling"
"641","HDAC2","Notch Signaling Pathway"
"642","HDAC2","Chromatin modifying enzymes"
"643","HDAC2","Disease"
"644","HDAC2","Signaling events mediated by HDAC Class I"
"645","HDAC2","Cell Cycle"
"646","HDAC2","Notch Signaling Pathway"
"647","HDAC2","Initiation of transcription and translation elongation at the HIV-1 LTR"
"648","HDAC2","Negative epigenetic regulation of rRNA expression"
"649","HDAC2","Signaling by NOTCH"
"650","HDAC2","p75NTR negatively regulates cell cycle via SC1"
"651","HDAC2","Regulation of nuclear SMAD2/3 signaling"
