Gene,Gene_ID,Relation,BiologicalProcess,BiologicalProcess_ID
FGF19,9965,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
CRTC3,64784,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
IL1B,3553,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
PPP2R5A,5525,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
SIK1,150094,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
REST,5978,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
APOA2,336,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
DGAT2,84649,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
ERLIN1,10613,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
NR1H4,9971,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
ORMDL2,29095,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
LPCAT1,79888,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
SIRT4,23409,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
APOC1,341,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
DAB2IP,153090,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
ACADVL,37,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
ESR1,2099,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
SNAI1,6615,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
GPLD1,2822,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
PLIN5,440503,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
BSCL2,26580,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
UGT1A6,54578,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
PIK3IP1,113791,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
BRCA1,672,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
APOC3,345,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
PDE3B,5140,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
FBXW7,55294,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
TRIB3,57761,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
ADRA2A,150,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
ACACB,32,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
SNAI2,6591,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
AKR1C3,8644,PARTICIPATES_GpBP,negative regulation of lipid metabolic process,GO:0045833
IRAK4,51135,PARTICIPATES_GpBP,positive regulation of smooth muscle cell proliferation,GO:0048661
HBEGF,1839,PARTICIPATES_GpBP,positive regulation of smooth muscle cell proliferation,GO:0048661
SHC1,6464,PARTICIPATES_GpBP,positive regulation of smooth muscle cell proliferation,GO:0048661
FLT1,2321,PARTICIPATES_GpBP,positive regulation of smooth muscle cell proliferation,GO:0048661
AIF1,199,PARTICIPATES_GpBP,positive regulation of smooth muscle cell proliferation,GO:0048661
EDN1,1906,PARTICIPATES_GpBP,positive regulation of smooth muscle cell proliferation,GO:0048661
TGFBR2,7048,PARTICIPATES_GpBP,positive regulation of smooth muscle cell proliferation,GO:0048661
CX3CL1,6376,PARTICIPATES_GpBP,positive regulation of smooth muscle cell proliferation,GO:0048661
CAMK2D,817,PARTICIPATES_GpBP,positive regulation of smooth muscle cell proliferation,GO:0048661
HMGCR,3156,PARTICIPATES_GpBP,positive regulation of smooth muscle cell proliferation,GO:0048661
HDAC4,9759,PARTICIPATES_GpBP,positive regulation of smooth muscle cell proliferation,GO:0048661
IL6,3569,PARTICIPATES_GpBP,positive regulation of smooth muscle cell proliferation,GO:0048661
MTOR,2475,PARTICIPATES_GpBP,positive regulation of smooth muscle cell proliferation,GO:0048661
CDH13,1012,PARTICIPATES_GpBP,positive regulation of smooth muscle cell proliferation,GO:0048661
ID2,3398,PARTICIPATES_GpBP,positive regulation of smooth muscle cell proliferation,GO:0048661
PTGS2,5743,PARTICIPATES_GpBP,positive regulation of smooth muscle cell proliferation,GO:0048661
CCL5,6352,PARTICIPATES_GpBP,positive regulation of smooth muscle cell proliferation,GO:0048661
AGER,177,PARTICIPATES_GpBP,positive regulation of smooth muscle cell proliferation,GO:0048661
GSK3B,2932,PARTICIPATES_GpBP,positive regulation of smooth muscle cell proliferation,GO:0048661
NOTCH3,4854,PARTICIPATES_GpBP,positive regulation of smooth muscle cell proliferation,GO:0048661
IGF1,3479,PARTICIPATES_GpBP,positive regulation of smooth muscle cell proliferation,GO:0048661
IL6R,3570,PARTICIPATES_GpBP,positive regulation of smooth muscle cell proliferation,GO:0048661
HIF1A,3091,PARTICIPATES_GpBP,positive regulation of smooth muscle cell proliferation,GO:0048661
IL13,3596,PARTICIPATES_GpBP,positive regulation of smooth muscle cell proliferation,GO:0048661
ELANE,1991,PARTICIPATES_GpBP,positive regulation of smooth muscle cell proliferation,GO:0048661
JUN,3725,PARTICIPATES_GpBP,positive regulation of smooth muscle cell proliferation,GO:0048661
FOXP1,27086,PARTICIPATES_GpBP,positive regulation of smooth muscle cell proliferation,GO:0048661
PTAFR,5724,PARTICIPATES_GpBP,positive regulation of smooth muscle cell proliferation,GO:0048661
IRAK1,3654,PARTICIPATES_GpBP,positive regulation of smooth muscle cell proliferation,GO:0048661
NAMPT,10135,PARTICIPATES_GpBP,positive regulation of smooth muscle cell proliferation,GO:0048661
FGFR2,2263,PARTICIPATES_GpBP,positive regulation of smooth muscle cell proliferation,GO:0048661
BMP4,652,PARTICIPATES_GpBP,positive regulation of smooth muscle cell proliferation,GO:0048661
NR4A3,8013,PARTICIPATES_GpBP,positive regulation of smooth muscle cell proliferation,GO:0048661
C3AR1,719,PARTICIPATES_GpBP,positive regulation of smooth muscle cell proliferation,GO:0048661
CYBA,1535,PARTICIPATES_GpBP,positive regulation of smooth muscle cell proliferation,GO:0048661
SKP2,6502,PARTICIPATES_GpBP,positive regulation of smooth muscle cell proliferation,GO:0048661
PPARGC1A,10891,PARTICIPATES_GpBP,positive regulation of smooth muscle cell proliferation,GO:0048661
HMOX1,3162,PARTICIPATES_GpBP,positive regulation of smooth muscle cell proliferation,GO:0048661
STAT5B,6777,PARTICIPATES_GpBP,positive regulation of smooth muscle cell proliferation,GO:0048661
RETN,56729,PARTICIPATES_GpBP,positive regulation of smooth muscle cell proliferation,GO:0048661
SERPINF2,5345,PARTICIPATES_GpBP,positive regulation of smooth muscle cell proliferation,GO:0048661
PDGFD,80310,PARTICIPATES_GpBP,positive regulation of smooth muscle cell proliferation,GO:0048661
STAT1,6772,PARTICIPATES_GpBP,positive regulation of smooth muscle cell proliferation,GO:0048661
DDX39B,7919,PARTICIPATES_GpBP,positive regulation of smooth muscle cell proliferation,GO:0048661
CALCRL,10203,PARTICIPATES_GpBP,positive regulation of smooth muscle cell proliferation,GO:0048661
ITGA2,3673,PARTICIPATES_GpBP,positive regulation of smooth muscle cell proliferation,GO:0048661
PDGFRB,5159,PARTICIPATES_GpBP,positive regulation of smooth muscle cell proliferation,GO:0048661
AKR1B1,231,PARTICIPATES_GpBP,positive regulation of smooth muscle cell proliferation,GO:0048661
MNAT1,4331,PARTICIPATES_GpBP,positive regulation of smooth muscle cell proliferation,GO:0048661
S1PR1,1901,PARTICIPATES_GpBP,positive regulation of smooth muscle cell proliferation,GO:0048661
RPS6KB1,6198,PARTICIPATES_GpBP,positive regulation of smooth muscle cell proliferation,GO:0048661
CTSG,1511,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
ADAM10,102,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
SH3PXD2B,285590,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
TLL1,7092,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
COL16A1,1307,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
LAMA3,3909,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
ADAMTS5,11096,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
COL15A1,1306,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
LAMC1,3915,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
ACAN,176,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
KLKB1,3818,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
PSEN1,5663,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
MMP1,4312,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
MMP16,4325,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
COL8A2,1296,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
TIMP2,7077,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
CAPNS1,826,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
COL14A1,7373,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
CTSL,1514,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
MMP19,4327,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
COL6A2,1292,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
TPSAB1,7177,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
PLG,5340,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
CAPN1,823,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
FN1,2335,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
LAMA5,3911,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
CTSS,1520,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
ADAM15,8751,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
NCSTN,23385,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
ADAM9,8754,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
ELN,2006,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
BSG,682,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
FBN2,2201,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
LAMB1,3912,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
COL6A6,131873,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
WASH1,100287171,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
HSPG2,3339,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
COL26A1,136227,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
HPN,3249,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
COL4A1,1282,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
COL12A1,1303,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
NID1,4811,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
SPP1,6696,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
COL9A3,1299,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
CTSD,1509,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
COL4A2,1284,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
TIMP1,7076,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
BMP1,649,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
COL6A1,1291,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
NOXO1,124056,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
MMP11,4320,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
COL4A3,1285,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
LAMC2,3918,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
LCP1,3936,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
ADAM8,101,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
ENG,2022,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
ADAM17,6868,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
CTSB,1508,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
MMP14,4323,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
CDH1,999,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
COL8A1,1295,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
COL1A1,1277,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
MMP15,4324,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
MMP9,4318,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
COL17A1,1308,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
COL1A2,1278,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
COL7A1,1294,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
CTSV,1515,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
COL5A1,1289,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
PHYKPL,85007,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
FLOT1,10211,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
MMP8,4317,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
COL9A2,1298,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
COL6A3,1293,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
COL4A4,1286,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
COL18A1,80781,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
COL4A6,1288,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
FURIN,5045,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
MMP3,4314,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
PRSS1,5644,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
COL23A1,91522,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
EXOC8,149371,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
COL5A3,50509,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
MMP10,4319,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
FBN1,2200,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
COL4A5,1287,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
COL3A1,1281,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
MMP7,4316,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
COL5A2,1290,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
MMP2,4313,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
CD44,960,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
LAMB3,3914,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
CTRB2,440387,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
CASP3,836,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
CMA1,1215,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
CTSK,1513,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
A2M,2,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
DCN,1634,PARTICIPATES_GpBP,extracellular matrix disassembly,GO:0022617
FAS,355,PARTICIPATES_GpBP,dendrite regeneration,GO:0031104
MATN2,4147,PARTICIPATES_GpBP,dendrite regeneration,GO:0031104
PLOD3,8985,PARTICIPATES_GpBP,endothelial cell morphogenesis,GO:0001886
NOTCH4,4855,PARTICIPATES_GpBP,endothelial cell morphogenesis,GO:0001886
HEG1,57493,PARTICIPATES_GpBP,endothelial cell morphogenesis,GO:0001886
CLIC4,25932,PARTICIPATES_GpBP,endothelial cell morphogenesis,GO:0001886
ID1,3397,PARTICIPATES_GpBP,endothelial cell morphogenesis,GO:0001886
ARHGEF26,26084,PARTICIPATES_GpBP,endothelial cell morphogenesis,GO:0001886
MET,4233,PARTICIPATES_GpBP,endothelial cell morphogenesis,GO:0001886
STC1,6781,PARTICIPATES_GpBP,endothelial cell morphogenesis,GO:0001886
TRIM27,5987,PARTICIPATES_GpBP,interferon-gamma secretion,GO:0072643
F2RL1,2150,PARTICIPATES_GpBP,interferon-gamma secretion,GO:0072643
GATA3,2625,PARTICIPATES_GpBP,interferon-gamma secretion,GO:0072643
VTCN1,79679,PARTICIPATES_GpBP,interferon-gamma secretion,GO:0072643
BTN3A1,11119,PARTICIPATES_GpBP,interferon-gamma secretion,GO:0072643
RNF19B,127544,PARTICIPATES_GpBP,interferon-gamma secretion,GO:0072643
BTN3A2,11118,PARTICIPATES_GpBP,interferon-gamma secretion,GO:0072643
LILRB1,10859,PARTICIPATES_GpBP,interferon-gamma secretion,GO:0072643
FCER1G,2207,PARTICIPATES_GpBP,positive regulation of type II hypersensitivity,GO:0002894
C3,718,PARTICIPATES_GpBP,positive regulation of type II hypersensitivity,GO:0002894
RAB27B,5874,PARTICIPATES_GpBP,melanosome localization,GO:0032400
ARL6,84100,PARTICIPATES_GpBP,melanosome localization,GO:0032400
DCTN1,1639,PARTICIPATES_GpBP,melanosome localization,GO:0032400
MREG,55686,PARTICIPATES_GpBP,melanosome localization,GO:0032400
BBS5,129880,PARTICIPATES_GpBP,melanosome localization,GO:0032400
BLOC1S3,388552,PARTICIPATES_GpBP,melanosome localization,GO:0032400
BBS7,55212,PARTICIPATES_GpBP,melanosome localization,GO:0032400
RAB17,64284,PARTICIPATES_GpBP,melanosome localization,GO:0032400
DCTN2,10540,PARTICIPATES_GpBP,melanosome localization,GO:0032400
BLOC1S5,63915,PARTICIPATES_GpBP,melanosome localization,GO:0032400
RAB11A,8766,PARTICIPATES_GpBP,melanosome localization,GO:0032400
BBS2,583,PARTICIPATES_GpBP,melanosome localization,GO:0032400
VPS33B,26276,PARTICIPATES_GpBP,melanosome localization,GO:0032400
SHROOM2,357,PARTICIPATES_GpBP,melanosome localization,GO:0032400
RAB27A,5873,PARTICIPATES_GpBP,melanosome localization,GO:0032400
BBS4,585,PARTICIPATES_GpBP,melanosome localization,GO:0032400
MKKS,8195,PARTICIPATES_GpBP,melanosome localization,GO:0032400
RAB11B,9230,PARTICIPATES_GpBP,melanosome localization,GO:0032400
BLOC1S6,26258,PARTICIPATES_GpBP,melanosome localization,GO:0032400
MYO5A,4644,PARTICIPATES_GpBP,melanosome localization,GO:0032400
RAB1A,5861,PARTICIPATES_GpBP,melanosome localization,GO:0032400
ASPDH,554235,PARTICIPATES_GpBP,NAD biosynthetic process,GO:0009435
NMRK1,54981,PARTICIPATES_GpBP,NAD biosynthetic process,GO:0009435
KMO,8564,PARTICIPATES_GpBP,NAD biosynthetic process,GO:0009435
NAPRT,93100,PARTICIPATES_GpBP,NAD biosynthetic process,GO:0009435
QPRT,23475,PARTICIPATES_GpBP,NAD biosynthetic process,GO:0009435
NMRK2,27231,PARTICIPATES_GpBP,NAD biosynthetic process,GO:0009435
HAAO,23498,PARTICIPATES_GpBP,NAD biosynthetic process,GO:0009435
AFMID,125061,PARTICIPATES_GpBP,NAD biosynthetic process,GO:0009435
PNP,4860,PARTICIPATES_GpBP,NAD biosynthetic process,GO:0009435
NMNAT1,64802,PARTICIPATES_GpBP,NAD biosynthetic process,GO:0009435
KYNU,8942,PARTICIPATES_GpBP,NAD biosynthetic process,GO:0009435
NADSYN1,55191,PARTICIPATES_GpBP,NAD biosynthetic process,GO:0009435
NMNAT3,349565,PARTICIPATES_GpBP,NAD biosynthetic process,GO:0009435
NMNAT2,23057,PARTICIPATES_GpBP,NAD biosynthetic process,GO:0009435
PC,5091,PARTICIPATES_GpBP,modulation by host of viral release from host cell,GO:0044789
CAV2,858,PARTICIPATES_GpBP,modulation by host of viral release from host cell,GO:0044789
VAPA,9218,PARTICIPATES_GpBP,modulation by host of viral release from host cell,GO:0044789
VAPB,9217,PARTICIPATES_GpBP,modulation by host of viral release from host cell,GO:0044789
ZNF502,91392,PARTICIPATES_GpBP,modulation by host of viral release from host cell,GO:0044789
DNAJB2,3300,PARTICIPATES_GpBP,negative regulation of protein deubiquitination,GO:0090086
PARK7,11315,PARTICIPATES_GpBP,negative regulation of protein deubiquitination,GO:0090086
UBXN1,51035,PARTICIPATES_GpBP,negative regulation of protein deubiquitination,GO:0090086
TRIM21,6737,PARTICIPATES_GpBP,negative regulation of protein deubiquitination,GO:0090086
PRKD1,5587,PARTICIPATES_GpBP,positive regulation of histone deacetylase activity,GO:1901727
VEGFA,7422,PARTICIPATES_GpBP,positive regulation of histone deacetylase activity,GO:1901727
PRKD2,25865,PARTICIPATES_GpBP,positive regulation of histone deacetylase activity,GO:1901727
C6orf89,221477,PARTICIPATES_GpBP,positive regulation of histone deacetylase activity,GO:1901727
RELN,5649,PARTICIPATES_GpBP,motor neuron migration,GO:0097475
BCL6,604,PARTICIPATES_GpBP,negative regulation of isotype switching,GO:0045829
THOC1,9984,PARTICIPATES_GpBP,negative regulation of isotype switching,GO:0045829
FOXP3,50943,PARTICIPATES_GpBP,negative regulation of isotype switching,GO:0045829
NDFIP1,80762,PARTICIPATES_GpBP,negative regulation of isotype switching,GO:0045829
DKC1,1736,PARTICIPATES_GpBP,mRNA pseudouridine synthesis,GO:1990481
TRUB1,142940,PARTICIPATES_GpBP,mRNA pseudouridine synthesis,GO:1990481
WAS,7454,PARTICIPATES_GpBP,regulation of T cell antigen processing and presentation,GO:0002625
HFE,3077,PARTICIPATES_GpBP,regulation of T cell antigen processing and presentation,GO:0002625
FADD,8772,PARTICIPATES_GpBP,necroptotic signaling pathway,GO:0097527
TLR3,7098,PARTICIPATES_GpBP,necroptotic signaling pathway,GO:0097527
FASLG,356,PARTICIPATES_GpBP,necroptotic signaling pathway,GO:0097527
HOXA5,3202,PARTICIPATES_GpBP,trachea cartilage morphogenesis,GO:0060535
LRP6,4040,PARTICIPATES_GpBP,trachea cartilage morphogenesis,GO:0060535
DCLRE1B,64858,PARTICIPATES_GpBP,telomeric loop formation,GO:0031627
TERF2,7014,PARTICIPATES_GpBP,telomeric loop formation,GO:0031627
SERPINE1,5054,PARTICIPATES_GpBP,chronological cell aging,GO:0001300
VAV2,7410,PARTICIPATES_GpBP,immune response-regulating signaling pathway,GO:0002764
PSMD14,10213,PARTICIPATES_GpBP,immune response-regulating signaling pathway,GO:0002764
PTPRC,5788,PARTICIPATES_GpBP,immune response-regulating signaling pathway,GO:0002764
IRAK3,11213,PARTICIPATES_GpBP,immune response-regulating signaling pathway,GO:0002764
CTLA4,1493,PARTICIPATES_GpBP,immune response-regulating signaling pathway,GO:0002764
CD3D,915,PARTICIPATES_GpBP,immune response-regulating signaling pathway,GO:0002764
CALM1,801,PARTICIPATES_GpBP,immune response-regulating signaling pathway,GO:0002764
RELB,5971,PARTICIPATES_GpBP,immune response-regulating signaling pathway,GO:0002764
PSMD8,5714,PARTICIPATES_GpBP,immune response-regulating signaling pathway,GO:0002764
PPP3CB,5532,PARTICIPATES_GpBP,immune response-regulating signaling pathway,GO:0002764
