Anatomy,Anatomy_ID,Relation,Gene,Gene_ID
lymph node,UBERON:0000029,EXPRESSES_AeG,GANC,2595
lymph node,UBERON:0000029,EXPRESSES_AeG,UBE2D2,7322
lymph node,UBERON:0000029,EXPRESSES_AeG,VPS16,64601
lymph node,UBERON:0000029,EXPRESSES_AeG,MPG,4350
lymph node,UBERON:0000029,EXPRESSES_AeG,DUSP26,78986
lymph node,UBERON:0000029,EXPRESSES_AeG,ICA1L,130026
lymph node,UBERON:0000029,EXPRESSES_AeG,DOK3,79930
lymph node,UBERON:0000029,EXPRESSES_AeG,TMEM62,80021
lymph node,UBERON:0000029,EXPRESSES_AeG,USP44,84101
lymph node,UBERON:0000029,EXPRESSES_AeG,MRPS27,23107
lymph node,UBERON:0000029,EXPRESSES_AeG,ZNF697,90874
lymph node,UBERON:0000029,EXPRESSES_AeG,HSPG2,3339
lymph node,UBERON:0000029,EXPRESSES_AeG,DSC2,1824
lymph node,UBERON:0000029,EXPRESSES_AeG,DDX51,317781
lymph node,UBERON:0000029,EXPRESSES_AeG,MIER1,57708
lymph node,UBERON:0000029,EXPRESSES_AeG,MTRF1,9617
lymph node,UBERON:0000029,EXPRESSES_AeG,LRP12,29967
lymph node,UBERON:0000029,EXPRESSES_AeG,MSL2,55167
lymph node,UBERON:0000029,EXPRESSES_AeG,TCEB1,6921
lymph node,UBERON:0000029,EXPRESSES_AeG,ALDH18A1,5832
lymph node,UBERON:0000029,EXPRESSES_AeG,CA2,760
lymph node,UBERON:0000029,EXPRESSES_AeG,C15orf57,90416
lymph node,UBERON:0000029,EXPRESSES_AeG,ZFR,51663
lymph node,UBERON:0000029,EXPRESSES_AeG,AAMP,14
lymph node,UBERON:0000029,EXPRESSES_AeG,NECAP2,55707
lymph node,UBERON:0000029,EXPRESSES_AeG,RARA,5914
lymph node,UBERON:0000029,EXPRESSES_AeG,C5orf45,51149
lymph node,UBERON:0000029,EXPRESSES_AeG,QTRT1,81890
lymph node,UBERON:0000029,EXPRESSES_AeG,SLC25A44,9673
lymph node,UBERON:0000029,EXPRESSES_AeG,C3orf18,51161
lymph node,UBERON:0000029,EXPRESSES_AeG,HNRNPA2B1,3181
lymph node,UBERON:0000029,EXPRESSES_AeG,RPL32,6161
lymph node,UBERON:0000029,EXPRESSES_AeG,PLCL2,23228
lymph node,UBERON:0000029,EXPRESSES_AeG,NFE2L2,4780
lymph node,UBERON:0000029,EXPRESSES_AeG,NT5C3B,115024
lymph node,UBERON:0000029,EXPRESSES_AeG,ENO1,2023
lymph node,UBERON:0000029,EXPRESSES_AeG,TRMT6,51605
lymph node,UBERON:0000029,EXPRESSES_AeG,AMOT,154796
lymph node,UBERON:0000029,EXPRESSES_AeG,C11orf95,65998
lymph node,UBERON:0000029,EXPRESSES_AeG,SLC1A1,6505
lymph node,UBERON:0000029,EXPRESSES_AeG,CRAMP1L,57585
lymph node,UBERON:0000029,EXPRESSES_AeG,RTN1,6252
lymph node,UBERON:0000029,EXPRESSES_AeG,SYNE1,23345
lymph node,UBERON:0000029,EXPRESSES_AeG,DVL1,1855
lymph node,UBERON:0000029,EXPRESSES_AeG,TNFRSF17,608
lymph node,UBERON:0000029,EXPRESSES_AeG,VBP1,7411
lymph node,UBERON:0000029,EXPRESSES_AeG,CEP41,95681
lymph node,UBERON:0000029,EXPRESSES_AeG,CRELD2,79174
lymph node,UBERON:0000029,EXPRESSES_AeG,PRUNE,58497
lymph node,UBERON:0000029,EXPRESSES_AeG,CLIP4,79745
lymph node,UBERON:0000029,EXPRESSES_AeG,H1F0,3005
lymph node,UBERON:0000029,EXPRESSES_AeG,GIMAP1,170575
lymph node,UBERON:0000029,EXPRESSES_AeG,OAZ1,4946
lymph node,UBERON:0000029,EXPRESSES_AeG,KLF8,11279
lymph node,UBERON:0000029,EXPRESSES_AeG,SOX2,6657
lymph node,UBERON:0000029,EXPRESSES_AeG,FGF7,2252
lymph node,UBERON:0000029,EXPRESSES_AeG,FBXO38,81545
lymph node,UBERON:0000029,EXPRESSES_AeG,SKIV2L,6499
lymph node,UBERON:0000029,EXPRESSES_AeG,RNF122,79845
lymph node,UBERON:0000029,EXPRESSES_AeG,FUNDC1,139341
lymph node,UBERON:0000029,EXPRESSES_AeG,TNNI1,7135
lymph node,UBERON:0000029,EXPRESSES_AeG,MYL6B,140465
lymph node,UBERON:0000029,EXPRESSES_AeG,TADA3,10474
lymph node,UBERON:0000029,EXPRESSES_AeG,SHOX2,6474
lymph node,UBERON:0000029,EXPRESSES_AeG,MON2,23041
lymph node,UBERON:0000029,EXPRESSES_AeG,GPR4,2828
lymph node,UBERON:0000029,EXPRESSES_AeG,PCSK7,9159
lymph node,UBERON:0000029,EXPRESSES_AeG,NAB2,4665
lymph node,UBERON:0000029,EXPRESSES_AeG,TRMU,55687
lymph node,UBERON:0000029,EXPRESSES_AeG,PIGQ,9091
lymph node,UBERON:0000029,EXPRESSES_AeG,GADD45B,4616
lymph node,UBERON:0000029,EXPRESSES_AeG,PPIB,5479
lymph node,UBERON:0000029,EXPRESSES_AeG,MRPS31,10240
lymph node,UBERON:0000029,EXPRESSES_AeG,FCRL4,83417
lymph node,UBERON:0000029,EXPRESSES_AeG,TST,7263
lymph node,UBERON:0000029,EXPRESSES_AeG,PACRGL,133015
lymph node,UBERON:0000029,EXPRESSES_AeG,CARS,833
lymph node,UBERON:0000029,EXPRESSES_AeG,INTS9,55756
lymph node,UBERON:0000029,EXPRESSES_AeG,EPCAM,4072
lymph node,UBERON:0000029,EXPRESSES_AeG,ZNF397,84307
lymph node,UBERON:0000029,EXPRESSES_AeG,HEXIM1,10614
lymph node,UBERON:0000029,EXPRESSES_AeG,DET1,55070
lymph node,UBERON:0000029,EXPRESSES_AeG,TIMP4,7079
lymph node,UBERON:0000029,EXPRESSES_AeG,PLEKHA4,57664
lymph node,UBERON:0000029,EXPRESSES_AeG,COL12A1,1303
lymph node,UBERON:0000029,EXPRESSES_AeG,CHD7,55636
lymph node,UBERON:0000029,EXPRESSES_AeG,PICALM,8301
lymph node,UBERON:0000029,EXPRESSES_AeG,MVP,9961
lymph node,UBERON:0000029,EXPRESSES_AeG,RNF170,81790
lymph node,UBERON:0000029,EXPRESSES_AeG,MYO9B,4650
lymph node,UBERON:0000029,EXPRESSES_AeG,METTL25,84190
lymph node,UBERON:0000029,EXPRESSES_AeG,TRIM3,10612
lymph node,UBERON:0000029,EXPRESSES_AeG,PLEKHO2,80301
lymph node,UBERON:0000029,EXPRESSES_AeG,GRINA,2907
lymph node,UBERON:0000029,EXPRESSES_AeG,IDUA,3425
lymph node,UBERON:0000029,EXPRESSES_AeG,TMED7,51014
lymph node,UBERON:0000029,EXPRESSES_AeG,TMOD1,7111
lymph node,UBERON:0000029,EXPRESSES_AeG,MAST4,375449
lymph node,UBERON:0000029,EXPRESSES_AeG,HELZ,9931
lymph node,UBERON:0000029,EXPRESSES_AeG,FBP1,2203
lymph node,UBERON:0000029,EXPRESSES_AeG,C9orf91,203197
lymph node,UBERON:0000029,EXPRESSES_AeG,MDH1,4190
lymph node,UBERON:0000029,EXPRESSES_AeG,ERO1L,30001
lymph node,UBERON:0000029,EXPRESSES_AeG,PLP1,5354
lymph node,UBERON:0000029,EXPRESSES_AeG,CH25H,9023
lymph node,UBERON:0000029,EXPRESSES_AeG,NPM1,4869
lymph node,UBERON:0000029,EXPRESSES_AeG,ZFP91,80829
lymph node,UBERON:0000029,EXPRESSES_AeG,CCDC107,203260
lymph node,UBERON:0000029,EXPRESSES_AeG,TINF2,26277
lymph node,UBERON:0000029,EXPRESSES_AeG,RNF113A,7737
lymph node,UBERON:0000029,EXPRESSES_AeG,SP2,6668
lymph node,UBERON:0000029,EXPRESSES_AeG,NDUFV1,4723
lymph node,UBERON:0000029,EXPRESSES_AeG,TRIB2,28951
lymph node,UBERON:0000029,EXPRESSES_AeG,DOCK6,57572
lymph node,UBERON:0000029,EXPRESSES_AeG,UBR2,23304
lymph node,UBERON:0000029,EXPRESSES_AeG,ADAT2,134637
lymph node,UBERON:0000029,EXPRESSES_AeG,DCLK1,9201
lymph node,UBERON:0000029,EXPRESSES_AeG,NUDT5,11164
lymph node,UBERON:0000029,EXPRESSES_AeG,CXCL3,2921
lymph node,UBERON:0000029,EXPRESSES_AeG,ETFB,2109
lymph node,UBERON:0000029,EXPRESSES_AeG,RNF14,9604
lymph node,UBERON:0000029,EXPRESSES_AeG,SCAF11,9169
lymph node,UBERON:0000029,EXPRESSES_AeG,TMEM2,23670
lymph node,UBERON:0000029,EXPRESSES_AeG,PIP4K2A,5305
lymph node,UBERON:0000029,EXPRESSES_AeG,CHKA,1119
lymph node,UBERON:0000029,EXPRESSES_AeG,RAB3IP,117177
lymph node,UBERON:0000029,EXPRESSES_AeG,ZCCHC14,23174
lymph node,UBERON:0000029,EXPRESSES_AeG,PCMTD2,55251
lymph node,UBERON:0000029,EXPRESSES_AeG,ARMCX3,51566
lymph node,UBERON:0000029,EXPRESSES_AeG,CEP192,55125
lymph node,UBERON:0000029,EXPRESSES_AeG,EIF2AK3,9451
lymph node,UBERON:0000029,EXPRESSES_AeG,THEMIS2,9473
lymph node,UBERON:0000029,EXPRESSES_AeG,TMEM30A,55754
lymph node,UBERON:0000029,EXPRESSES_AeG,ZNF518A,9849
lymph node,UBERON:0000029,EXPRESSES_AeG,COL9A3,1299
lymph node,UBERON:0000029,EXPRESSES_AeG,IDO1,3620
lymph node,UBERON:0000029,EXPRESSES_AeG,YWHAB,7529
lymph node,UBERON:0000029,EXPRESSES_AeG,CLSTN2,64084
lymph node,UBERON:0000029,EXPRESSES_AeG,ABHD10,55347
lymph node,UBERON:0000029,EXPRESSES_AeG,KIF5B,3799
lymph node,UBERON:0000029,EXPRESSES_AeG,ZNF446,55663
lymph node,UBERON:0000029,EXPRESSES_AeG,JMJD7-PLA2G4B,8681
lymph node,UBERON:0000029,EXPRESSES_AeG,WRNIP1,56897
lymph node,UBERON:0000029,EXPRESSES_AeG,NDUFB3,4709
lymph node,UBERON:0000029,EXPRESSES_AeG,WWOX,51741
lymph node,UBERON:0000029,EXPRESSES_AeG,FLYWCH2,114984
lymph node,UBERON:0000029,EXPRESSES_AeG,VPS41,27072
lymph node,UBERON:0000029,EXPRESSES_AeG,RHBDD2,57414
lymph node,UBERON:0000029,EXPRESSES_AeG,BCORL1,63035
lymph node,UBERON:0000029,EXPRESSES_AeG,TFE3,7030
lymph node,UBERON:0000029,EXPRESSES_AeG,RTN4RL2,349667
lymph node,UBERON:0000029,EXPRESSES_AeG,PARP6,56965
lymph node,UBERON:0000029,EXPRESSES_AeG,ANP32E,81611
lymph node,UBERON:0000029,EXPRESSES_AeG,FRYL,285527
lymph node,UBERON:0000029,EXPRESSES_AeG,OCA2,4948
lymph node,UBERON:0000029,EXPRESSES_AeG,GDAP1,54332
lymph node,UBERON:0000029,EXPRESSES_AeG,CHAMP1,283489
lymph node,UBERON:0000029,EXPRESSES_AeG,CHCHD3,54927
lymph node,UBERON:0000029,EXPRESSES_AeG,NFATC2,4773
lymph node,UBERON:0000029,EXPRESSES_AeG,BLOC1S6,26258
lymph node,UBERON:0000029,EXPRESSES_AeG,NDUFA7,4701
lymph node,UBERON:0000029,EXPRESSES_AeG,PDE8A,5151
lymph node,UBERON:0000029,EXPRESSES_AeG,RERG,85004
lymph node,UBERON:0000029,EXPRESSES_AeG,THAP10,56906
lymph node,UBERON:0000029,EXPRESSES_AeG,FAM134C,162427
lymph node,UBERON:0000029,EXPRESSES_AeG,POFUT2,23275
lymph node,UBERON:0000029,EXPRESSES_AeG,ZNF746,155061
lymph node,UBERON:0000029,EXPRESSES_AeG,AGPAT2,10555
lymph node,UBERON:0000029,EXPRESSES_AeG,MTAP,4507
lymph node,UBERON:0000029,EXPRESSES_AeG,DCAF16,54876
lymph node,UBERON:0000029,EXPRESSES_AeG,CFAP126,257177
lymph node,UBERON:0000029,EXPRESSES_AeG,DGKD,8527
lymph node,UBERON:0000029,EXPRESSES_AeG,RIPK1,8737
lymph node,UBERON:0000029,EXPRESSES_AeG,ZNF681,148213
lymph node,UBERON:0000029,EXPRESSES_AeG,HSPB1,3315
lymph node,UBERON:0000029,EXPRESSES_AeG,TGM1,7051
lymph node,UBERON:0000029,EXPRESSES_AeG,C17orf58,284018
lymph node,UBERON:0000029,EXPRESSES_AeG,EFCAB7,84455
lymph node,UBERON:0000029,EXPRESSES_AeG,MKRN2,23609
lymph node,UBERON:0000029,EXPRESSES_AeG,TBC1D25,4943
lymph node,UBERON:0000029,EXPRESSES_AeG,FAM184A,79632
lymph node,UBERON:0000029,EXPRESSES_AeG,CASP2,835
lymph node,UBERON:0000029,EXPRESSES_AeG,EPHB3,2049
lymph node,UBERON:0000029,EXPRESSES_AeG,KIAA1143,57456
lymph node,UBERON:0000029,EXPRESSES_AeG,MDC1,9656
lymph node,UBERON:0000029,EXPRESSES_AeG,FAM126B,285172
lymph node,UBERON:0000029,EXPRESSES_AeG,ITLN1,55600
lymph node,UBERON:0000029,EXPRESSES_AeG,RAD54L2,23132
lymph node,UBERON:0000029,EXPRESSES_AeG,CHMP5,51510
lymph node,UBERON:0000029,EXPRESSES_AeG,SWSAP1,126074
lymph node,UBERON:0000029,EXPRESSES_AeG,SLC16A10,117247
lymph node,UBERON:0000029,EXPRESSES_AeG,GOLGA2,2801
lymph node,UBERON:0000029,EXPRESSES_AeG,YES1,7525
lymph node,UBERON:0000029,EXPRESSES_AeG,PRADC1,84279
lymph node,UBERON:0000029,EXPRESSES_AeG,PSD3,23362
lymph node,UBERON:0000029,EXPRESSES_AeG,AP3S2,10239
lymph node,UBERON:0000029,EXPRESSES_AeG,VDAC1,7416
lymph node,UBERON:0000029,EXPRESSES_AeG,SPG20,23111
lymph node,UBERON:0000029,EXPRESSES_AeG,PLIN1,5346
lymph node,UBERON:0000029,EXPRESSES_AeG,ZFYVE16,9765
lymph node,UBERON:0000029,EXPRESSES_AeG,SPHK2,56848
lymph node,UBERON:0000029,EXPRESSES_AeG,FXYD6,53826
lymph node,UBERON:0000029,EXPRESSES_AeG,PIGA,5277
lymph node,UBERON:0000029,EXPRESSES_AeG,AHSA1,10598
lymph node,UBERON:0000029,EXPRESSES_AeG,ZSWIM4,65249
lymph node,UBERON:0000029,EXPRESSES_AeG,CFLAR,8837
lymph node,UBERON:0000029,EXPRESSES_AeG,RELB,5971
lymph node,UBERON:0000029,EXPRESSES_AeG,SMIM10,644538
lymph node,UBERON:0000029,EXPRESSES_AeG,TCTN1,79600
lymph node,UBERON:0000029,EXPRESSES_AeG,SSBP1,6742
lymph node,UBERON:0000029,EXPRESSES_AeG,RBP4,5950
lymph node,UBERON:0000029,EXPRESSES_AeG,ZC3HAV1L,92092
lymph node,UBERON:0000029,EXPRESSES_AeG,IMP3,55272
lymph node,UBERON:0000029,EXPRESSES_AeG,SH3GLB2,56904
lymph node,UBERON:0000029,EXPRESSES_AeG,SRD5A3,79644
lymph node,UBERON:0000029,EXPRESSES_AeG,CLEC2D,29121
lymph node,UBERON:0000029,EXPRESSES_AeG,HCFC2,29915
lymph node,UBERON:0000029,EXPRESSES_AeG,EIF5,1983
lymph node,UBERON:0000029,EXPRESSES_AeG,DNAAF1,123872
lymph node,UBERON:0000029,EXPRESSES_AeG,B3GNT9,84752
lymph node,UBERON:0000029,EXPRESSES_AeG,UTS2B,257313
lymph node,UBERON:0000029,EXPRESSES_AeG,BCL7C,9274
lymph node,UBERON:0000029,EXPRESSES_AeG,UTP14C,9724
lymph node,UBERON:0000029,EXPRESSES_AeG,CACNB2,783
lymph node,UBERON:0000029,EXPRESSES_AeG,CCL18,6362
lymph node,UBERON:0000029,EXPRESSES_AeG,MRPS16,51021
lymph node,UBERON:0000029,EXPRESSES_AeG,POT1,25913
lymph node,UBERON:0000029,EXPRESSES_AeG,C5orf38,153571
lymph node,UBERON:0000029,EXPRESSES_AeG,RASA4B,100271927
lymph node,UBERON:0000029,EXPRESSES_AeG,TBCE,6905
lymph node,UBERON:0000029,EXPRESSES_AeG,MMP8,4317
lymph node,UBERON:0000029,EXPRESSES_AeG,MAP1A,4130
lymph node,UBERON:0000029,EXPRESSES_AeG,ARID2,196528
lymph node,UBERON:0000029,EXPRESSES_AeG,RPUSD1,113000
lymph node,UBERON:0000029,EXPRESSES_AeG,AHCY,191
lymph node,UBERON:0000029,EXPRESSES_AeG,TOR1AIP2,163590
lymph node,UBERON:0000029,EXPRESSES_AeG,CCDC134,79879
lymph node,UBERON:0000029,EXPRESSES_AeG,PGM1,5236
lymph node,UBERON:0000029,EXPRESSES_AeG,CHRNB1,1140
lymph node,UBERON:0000029,EXPRESSES_AeG,SERF1B,728492
lymph node,UBERON:0000029,EXPRESSES_AeG,DTHD1,401124
lymph node,UBERON:0000029,EXPRESSES_AeG,FASTKD3,79072
lymph node,UBERON:0000029,EXPRESSES_AeG,CEP83,51134
lymph node,UBERON:0000029,EXPRESSES_AeG,KCTD15,79047
lymph node,UBERON:0000029,EXPRESSES_AeG,PSD,5662
lymph node,UBERON:0000029,EXPRESSES_AeG,RAP1A,5906
lymph node,UBERON:0000029,EXPRESSES_AeG,RAD18,56852
lymph node,UBERON:0000029,EXPRESSES_AeG,ABL2,27
lymph node,UBERON:0000029,EXPRESSES_AeG,RBAK,57786
lymph node,UBERON:0000029,EXPRESSES_AeG,FKBP10,60681
lymph node,UBERON:0000029,EXPRESSES_AeG,NACC1,112939
lymph node,UBERON:0000029,EXPRESSES_AeG,CDH24,64403
lymph node,UBERON:0000029,EXPRESSES_AeG,DHTKD1,55526
lymph node,UBERON:0000029,EXPRESSES_AeG,RPS17,6218
lymph node,UBERON:0000029,EXPRESSES_AeG,TCEAL3,85012
lymph node,UBERON:0000029,EXPRESSES_AeG,YIPF1,54432
lymph node,UBERON:0000029,EXPRESSES_AeG,SPTSSA,171546
lymph node,UBERON:0000029,EXPRESSES_AeG,LILRB2,10288
lymph node,UBERON:0000029,EXPRESSES_AeG,FGFRL1,53834
lymph node,UBERON:0000029,EXPRESSES_AeG,SMUG1,23583
lymph node,UBERON:0000029,EXPRESSES_AeG,ZBTB41,360023
lymph node,UBERON:0000029,EXPRESSES_AeG,DNM1,1759
lymph node,UBERON:0000029,EXPRESSES_AeG,ATG4D,84971
lymph node,UBERON:0000029,EXPRESSES_AeG,VAMP5,10791
lymph node,UBERON:0000029,EXPRESSES_AeG,MCM2,4171
lymph node,UBERON:0000029,EXPRESSES_AeG,TRIM59,286827
lymph node,UBERON:0000029,EXPRESSES_AeG,SMPD3,55512
lymph node,UBERON:0000029,EXPRESSES_AeG,FAM172A,83989
lymph node,UBERON:0000029,EXPRESSES_AeG,ARMT1,79624
lymph node,UBERON:0000029,EXPRESSES_AeG,CD6,923
lymph node,UBERON:0000029,EXPRESSES_AeG,LRRC37B,114659
lymph node,UBERON:0000029,EXPRESSES_AeG,WNT6,7475
lymph node,UBERON:0000029,EXPRESSES_AeG,GIT1,28964
lymph node,UBERON:0000029,EXPRESSES_AeG,XRCC3,7517
lymph node,UBERON:0000029,EXPRESSES_AeG,DERL1,79139
lymph node,UBERON:0000029,EXPRESSES_AeG,ZNF304,57343
lymph node,UBERON:0000029,EXPRESSES_AeG,ENTPD1,953
lymph node,UBERON:0000029,EXPRESSES_AeG,ADD2,119
lymph node,UBERON:0000029,EXPRESSES_AeG,SEC62,7095
lymph node,UBERON:0000029,EXPRESSES_AeG,C6orf203,51250
lymph node,UBERON:0000029,EXPRESSES_AeG,C2orf88,84281
lymph node,UBERON:0000029,EXPRESSES_AeG,WDR43,23160
lymph node,UBERON:0000029,EXPRESSES_AeG,TSPAN7,7102
lymph node,UBERON:0000029,EXPRESSES_AeG,HILPDA,29923
lymph node,UBERON:0000029,EXPRESSES_AeG,RNF4,6047
lymph node,UBERON:0000029,EXPRESSES_AeG,SGTB,54557
lymph node,UBERON:0000029,EXPRESSES_AeG,GNAO1,2775
lymph node,UBERON:0000029,EXPRESSES_AeG,RDH10,157506
lymph node,UBERON:0000029,EXPRESSES_AeG,PSMC1,5700
lymph node,UBERON:0000029,EXPRESSES_AeG,ZNF582,147948
lymph node,UBERON:0000029,EXPRESSES_AeG,STC1,6781
lymph node,UBERON:0000029,EXPRESSES_AeG,ATG16L2,89849
lymph node,UBERON:0000029,EXPRESSES_AeG,MRPL23,6150
lymph node,UBERON:0000029,EXPRESSES_AeG,LRMP,4033
lymph node,UBERON:0000029,EXPRESSES_AeG,PAIP2,51247
lymph node,UBERON:0000029,EXPRESSES_AeG,C2orf69,205327
lymph node,UBERON:0000029,EXPRESSES_AeG,PGRMC1,10857
lymph node,UBERON:0000029,EXPRESSES_AeG,SEMA4B,10509
lymph node,UBERON:0000029,EXPRESSES_AeG,CLPP,8192
lymph node,UBERON:0000029,EXPRESSES_AeG,PIM3,415116
lymph node,UBERON:0000029,EXPRESSES_AeG,RPP30,10556
lymph node,UBERON:0000029,EXPRESSES_AeG,TACR1,6869
lymph node,UBERON:0000029,EXPRESSES_AeG,ZFPL1,7542
lymph node,UBERON:0000029,EXPRESSES_AeG,ZNF184,7738
lymph node,UBERON:0000029,EXPRESSES_AeG,SHOC2,8036
lymph node,UBERON:0000029,EXPRESSES_AeG,AGPAT4,56895
lymph node,UBERON:0000029,EXPRESSES_AeG,AMMECR1,9949
lymph node,UBERON:0000029,EXPRESSES_AeG,TMEM143,55260
lymph node,UBERON:0000029,EXPRESSES_AeG,ARAP1,116985
lymph node,UBERON:0000029,EXPRESSES_AeG,STIM1,6786
lymph node,UBERON:0000029,EXPRESSES_AeG,BRCA2,675
lymph node,UBERON:0000029,EXPRESSES_AeG,REC8,9985
lymph node,UBERON:0000029,EXPRESSES_AeG,AZIN2,113451
lymph node,UBERON:0000029,EXPRESSES_AeG,GINS1,9837
lymph node,UBERON:0000029,EXPRESSES_AeG,SCFD2,152579
lymph node,UBERON:0000029,EXPRESSES_AeG,G3BP1,10146
lymph node,UBERON:0000029,EXPRESSES_AeG,ARRDC4,91947
lymph node,UBERON:0000029,EXPRESSES_AeG,ZNF514,84874
lymph node,UBERON:0000029,EXPRESSES_AeG,RAB27A,5873
lymph node,UBERON:0000029,EXPRESSES_AeG,PSMD13,5719
lymph node,UBERON:0000029,EXPRESSES_AeG,SV2B,9899
lymph node,UBERON:0000029,EXPRESSES_AeG,TRIM16L,147166
lymph node,UBERON:0000029,EXPRESSES_AeG,EGR1,1958
lymph node,UBERON:0000029,EXPRESSES_AeG,SIAH2,6478
lymph node,UBERON:0000029,EXPRESSES_AeG,FAM19A5,25817
lymph node,UBERON:0000029,EXPRESSES_AeG,SH3BP1,23616
lymph node,UBERON:0000029,EXPRESSES_AeG,FCGR2A,2212
lymph node,UBERON:0000029,EXPRESSES_AeG,NCAPD3,23310
lymph node,UBERON:0000029,EXPRESSES_AeG,CACNA2D3,55799
lymph node,UBERON:0000029,EXPRESSES_AeG,KIF13B,23303
lymph node,UBERON:0000029,EXPRESSES_AeG,KIF23,9493
lymph node,UBERON:0000029,EXPRESSES_AeG,RNF130,55819
lymph node,UBERON:0000029,EXPRESSES_AeG,MST1,4485
lymph node,UBERON:0000029,EXPRESSES_AeG,SMARCAL1,50485
lymph node,UBERON:0000029,EXPRESSES_AeG,PRNP,5621
lymph node,UBERON:0000029,EXPRESSES_AeG,NFKBIB,4793
lymph node,UBERON:0000029,EXPRESSES_AeG,ZNF285,26974
lymph node,UBERON:0000029,EXPRESSES_AeG,ACKR3,57007
lymph node,UBERON:0000029,EXPRESSES_AeG,ARL4C,10123
lymph node,UBERON:0000029,EXPRESSES_AeG,ZCRB1,85437
lymph node,UBERON:0000029,EXPRESSES_AeG,TIMM13,26517
lymph node,UBERON:0000029,EXPRESSES_AeG,CD300A,11314
lymph node,UBERON:0000029,EXPRESSES_AeG,FAM83D,81610
lymph node,UBERON:0000029,EXPRESSES_AeG,CENPO,79172
lymph node,UBERON:0000029,EXPRESSES_AeG,TRIB1,10221
lymph node,UBERON:0000029,EXPRESSES_AeG,CHRNA3,1136
lymph node,UBERON:0000029,EXPRESSES_AeG,C14orf28,122525
lymph node,UBERON:0000029,EXPRESSES_AeG,PDE1B,5153
lymph node,UBERON:0000029,EXPRESSES_AeG,ST3GAL4,6484
lymph node,UBERON:0000029,EXPRESSES_AeG,PNO1,56902
lymph node,UBERON:0000029,EXPRESSES_AeG,CAB39,51719
lymph node,UBERON:0000029,EXPRESSES_AeG,FAM208A,23272
lymph node,UBERON:0000029,EXPRESSES_AeG,KLHL21,9903
lymph node,UBERON:0000029,EXPRESSES_AeG,BRD4,23476
lymph node,UBERON:0000029,EXPRESSES_AeG,ANAPC13,25847
lymph node,UBERON:0000029,EXPRESSES_AeG,MYO1D,4642
lymph node,UBERON:0000029,EXPRESSES_AeG,CEP68,23177
lymph node,UBERON:0000029,EXPRESSES_AeG,ZIM2,23619
lymph node,UBERON:0000029,EXPRESSES_AeG,C1orf233,643988
lymph node,UBERON:0000029,EXPRESSES_AeG,SAMD9,54809
lymph node,UBERON:0000029,EXPRESSES_AeG,TARS2,80222
lymph node,UBERON:0000029,EXPRESSES_AeG,ETNK2,55224
lymph node,UBERON:0000029,EXPRESSES_AeG,AP1S2,8905
lymph node,UBERON:0000029,EXPRESSES_AeG,ADCY5,111
lymph node,UBERON:0000029,EXPRESSES_AeG,GTF2E1,2960
