Compound,Compound_ID,Relation,Gene,Gene_ID
Floxuridine,DB00322,BINDS_CbG,TYMS,7298
Cefaclor,DB00833,BINDS_CbG,SLC15A1,6564
Cefaclor,DB00833,BINDS_CbG,SLC15A2,6565
Cefaclor,DB00833,BINDS_CbG,MPO,4353
Carbinoxamine,DB00748,BINDS_CbG,CYP2C8,1558
Carbinoxamine,DB00748,BINDS_CbG,CYP2C19,1557
Carbinoxamine,DB00748,BINDS_CbG,CYP2D6,1565
Carbinoxamine,DB00748,BINDS_CbG,CYP3A4,1576
Carbinoxamine,DB00748,BINDS_CbG,HRH1,3269
Carbinoxamine,DB00748,BINDS_CbG,CYP2E1,1571
Carbinoxamine,DB00748,BINDS_CbG,CYP2C9,1559
Carbinoxamine,DB00748,BINDS_CbG,CYP2B6,1555
Codeine,DB00318,BINDS_CbG,CYP3A7-CYP3A51P,100861540
Codeine,DB00318,BINDS_CbG,CYP3A4,1576
Codeine,DB00318,BINDS_CbG,SLC22A1,6580
Codeine,DB00318,BINDS_CbG,CYP2D6,1565
Codeine,DB00318,BINDS_CbG,UGT2B4,7363
Codeine,DB00318,BINDS_CbG,UGT2B7,7364
Codeine,DB00318,BINDS_CbG,CYP3A7,1551
Codeine,DB00318,BINDS_CbG,CYP3A5,1577
Atracurium,DB00732,BINDS_CbG,CHRNB1,1140
Acetylcysteine,DB06151,BINDS_CbG,IKBKB,3551
Acetylcysteine,DB06151,BINDS_CbG,ACY1,95
Acetylcysteine,DB06151,BINDS_CbG,CHUK,1147
Acetylcysteine,DB06151,BINDS_CbG,GSS,2937
Acetylcysteine,DB06151,BINDS_CbG,SLCO1B1,10599
Acetylcysteine,DB06151,BINDS_CbG,SLC7A11,23657
Moxifloxacin,DB00218,BINDS_CbG,TOP2A,7153
Ticlopidine,DB00208,BINDS_CbG,CYP2E1,1571
Ticlopidine,DB00208,BINDS_CbG,CYP2B6,1555
Ticlopidine,DB00208,BINDS_CbG,CYP3A4,1576
Ticlopidine,DB00208,BINDS_CbG,CYP2C9,1559
Ticlopidine,DB00208,BINDS_CbG,MPO,4353
Ticlopidine,DB00208,BINDS_CbG,CYP2D6,1565
Ticlopidine,DB00208,BINDS_CbG,CYP2C8,1558
Ticlopidine,DB00208,BINDS_CbG,CYP2C19,1557
Ticlopidine,DB00208,BINDS_CbG,CYP1A2,1544
Ticlopidine,DB00208,BINDS_CbG,CYP1A1,1543
Lornoxicam,DB06725,BINDS_CbG,CYP2C9,1559
Lornoxicam,DB06725,BINDS_CbG,PTGS1,5742
Lornoxicam,DB06725,BINDS_CbG,PTGS2,5743
Sibutramine,DB01105,BINDS_CbG,CYP3A4,1576
Sibutramine,DB01105,BINDS_CbG,SLC6A2,6530
Deslanoside,DB01078,BINDS_CbG,ATP1B2,482
Deslanoside,DB01078,BINDS_CbG,FXYD2,486
Deslanoside,DB01078,BINDS_CbG,ATP1A2,477
Deslanoside,DB01078,BINDS_CbG,ATP1A3,478
Deslanoside,DB01078,BINDS_CbG,ATP1B3,483
Deslanoside,DB01078,BINDS_CbG,ATP1B1,481
Deslanoside,DB01078,BINDS_CbG,ATP1A1,476
Metoprolol,DB00264,BINDS_CbG,CYP2C19,1557
Metoprolol,DB00264,BINDS_CbG,CYP2D6,1565
Metoprolol,DB00264,BINDS_CbG,ABCB1,5243
Nifedipine,DB01115,BINDS_CbG,CYP2C9,1559
Nifedipine,DB01115,BINDS_CbG,ABCC3,8714
Nifedipine,DB01115,BINDS_CbG,CYP3A7,1551
Nifedipine,DB01115,BINDS_CbG,CYP2A6,1548
Nifedipine,DB01115,BINDS_CbG,CYP2D6,1565
Nifedipine,DB01115,BINDS_CbG,CYP2E1,1571
Nifedipine,DB01115,BINDS_CbG,CACNB2,783
Nifedipine,DB01115,BINDS_CbG,CACNA1C,775
Nifedipine,DB01115,BINDS_CbG,CYP1A2,1544
Nifedipine,DB01115,BINDS_CbG,CYP1A1,1543
Nifedipine,DB01115,BINDS_CbG,ABCC2,1244
Nifedipine,DB01115,BINDS_CbG,ABCB1,5243
Nifedipine,DB01115,BINDS_CbG,CYP2C8,1558
Nifedipine,DB01115,BINDS_CbG,CALM3,808
Nifedipine,DB01115,BINDS_CbG,CYP3A5,1577
Nifedipine,DB01115,BINDS_CbG,CYP3A7-CYP3A51P,100861540
Nifedipine,DB01115,BINDS_CbG,CYP2B6,1555
Nifedipine,DB01115,BINDS_CbG,CYP3A4,1576
Nifedipine,DB01115,BINDS_CbG,CALM2,805
Nifedipine,DB01115,BINDS_CbG,CACNA2D1,781
Nifedipine,DB01115,BINDS_CbG,CALM1,801
Nifedipine,DB01115,BINDS_CbG,CACNA1D,776
Nifedipine,DB01115,BINDS_CbG,CACNA1H,8912
Desogestrel,DB00304,BINDS_CbG,ESR1,2099
Desogestrel,DB00304,BINDS_CbG,SHBG,6462
Desogestrel,DB00304,BINDS_CbG,PGR,5241
Tranexamic Acid,DB00302,BINDS_CbG,PLG,5340
Tranexamic Acid,DB00302,BINDS_CbG,SLC15A2,6565
Trifluridine,DB00432,BINDS_CbG,TYMS,7298
Trifluridine,DB00432,BINDS_CbG,TK1,7083
Trifluridine,DB00432,BINDS_CbG,TYMP,1890
Tetrahydrobiopterin,DB00360,BINDS_CbG,NOS3,4846
Tetrahydrobiopterin,DB00360,BINDS_CbG,PTGS2,5743
Tetrahydrobiopterin,DB00360,BINDS_CbG,PAH,5053
Tetrahydrobiopterin,DB00360,BINDS_CbG,TH,7054
Cetirizine,DB00341,BINDS_CbG,HRH1,3269
Bretylium,DB01158,BINDS_CbG,ATP1A1,476
Bretylium,DB01158,BINDS_CbG,SLC6A2,6530
Hydroxychloroquine,DB01611,BINDS_CbG,TLR7,51284
Hydroxychloroquine,DB01611,BINDS_CbG,CYP2D6,1565
Pindolol,DB00960,BINDS_CbG,CYP2D6,1565
Nadolol,DB01203,BINDS_CbG,ABCB1,5243
Methylphenobarbital,DB00849,BINDS_CbG,CYP2B6,1555
Methylphenobarbital,DB00849,BINDS_CbG,CYP2C19,1557
Methylphenobarbital,DB00849,BINDS_CbG,GABRA2,2555
Pioglitazone,DB01132,BINDS_CbG,SLCO1B3,28234
Pioglitazone,DB01132,BINDS_CbG,SLCO1B1,10599
Pioglitazone,DB01132,BINDS_CbG,CYP2C9,1559
Pioglitazone,DB01132,BINDS_CbG,CYP2C19,1557
Pioglitazone,DB01132,BINDS_CbG,CYP2D6,1565
Pioglitazone,DB01132,BINDS_CbG,PPARG,5468
Pioglitazone,DB01132,BINDS_CbG,CYP2C8,1558
Pioglitazone,DB01132,BINDS_CbG,CYP3A4,1576
Pioglitazone,DB01132,BINDS_CbG,PTGS1,5742
Orphenadrine,DB01173,BINDS_CbG,SCN9A,6335
Orphenadrine,DB01173,BINDS_CbG,CYP3A4,1576
Orphenadrine,DB01173,BINDS_CbG,KCNH2,3757
Orphenadrine,DB01173,BINDS_CbG,CYP2E1,1571
Orphenadrine,DB01173,BINDS_CbG,SLC6A2,6530
Orphenadrine,DB01173,BINDS_CbG,CYP2B6,1555
Orphenadrine,DB01173,BINDS_CbG,HRH1,3269
Orphenadrine,DB01173,BINDS_CbG,SCN10A,6336
Famciclovir,DB00426,BINDS_CbG,CYP3A4,1576
Famciclovir,DB00426,BINDS_CbG,AOX1,316
Valrubicin,DB00385,BINDS_CbG,TOP2A,7153
Chlorphenamine,DB01114,BINDS_CbG,SLC22A1,6580
Chlorphenamine,DB01114,BINDS_CbG,CYP2D6,1565
Chlorphenamine,DB01114,BINDS_CbG,CYP3A4,1576
Chlorphenamine,DB01114,BINDS_CbG,CYP3A7-CYP3A51P,100861540
Chlorphenamine,DB01114,BINDS_CbG,SLC6A2,6530
Chlorphenamine,DB01114,BINDS_CbG,CYP3A5,1577
Chlorphenamine,DB01114,BINDS_CbG,CYP3A7,1551
Chlorphenamine,DB01114,BINDS_CbG,HRH1,3269
Levonordefrin,DB06707,BINDS_CbG,ADRA2A,150
Levonordefrin,DB06707,BINDS_CbG,SLC6A2,6530
Levonordefrin,DB06707,BINDS_CbG,ADRA1A,148
Levonordefrin,DB06707,BINDS_CbG,ADRA2C,152
Permethrin,DB04930,BINDS_CbG,CYP3A4,1576
Permethrin,DB04930,BINDS_CbG,CYP2B6,1555
Spironolactone,DB00421,BINDS_CbG,ABCC2,1244
Spironolactone,DB00421,BINDS_CbG,NR3C1,2908
Spironolactone,DB00421,BINDS_CbG,CYP2C8,1558
Spironolactone,DB00421,BINDS_CbG,CYP11B2,1585
Spironolactone,DB00421,BINDS_CbG,PGR,5241
Spironolactone,DB00421,BINDS_CbG,AR,367
Spironolactone,DB00421,BINDS_CbG,NR3C2,4306
Spironolactone,DB00421,BINDS_CbG,SHBG,6462
Spironolactone,DB00421,BINDS_CbG,ABCB1,5243
Spironolactone,DB00421,BINDS_CbG,SLCO1A2,6579
Hydroxyproline,DB08847,BINDS_CbG,SLC36A1,206358
Aminohippurate,DB00345,BINDS_CbG,ABCB1,5243
Aminohippurate,DB00345,BINDS_CbG,ABCC1,4363
Aminohippurate,DB00345,BINDS_CbG,SLCO3A1,28232
Aminohippurate,DB00345,BINDS_CbG,SLC22A5,6584
Aminohippurate,DB00345,BINDS_CbG,SLC22A4,6583
Aminohippurate,DB00345,BINDS_CbG,ABCC2,1244
Aminohippurate,DB00345,BINDS_CbG,SLC22A7,10864
Aminohippurate,DB00345,BINDS_CbG,SLCO1A2,6579
Aminohippurate,DB00345,BINDS_CbG,SLC22A11,55867
Aminohippurate,DB00345,BINDS_CbG,SLC16A1,6566
Aminohippurate,DB00345,BINDS_CbG,SLCO1B1,10599
Aminohippurate,DB00345,BINDS_CbG,SLC22A1,6580
Tamibarotene,DB04942,BINDS_CbG,RARA,5914
Tamibarotene,DB04942,BINDS_CbG,RARB,5915
Alfentanil,DB00802,BINDS_CbG,ALB,213
Alfentanil,DB00802,BINDS_CbG,ABCB1,5243
Alfentanil,DB00802,BINDS_CbG,CYP3A4,1576
Alfentanil,DB00802,BINDS_CbG,CYP3A5,1577
Alfentanil,DB00802,BINDS_CbG,CYP3A7-CYP3A51P,100861540
Alfentanil,DB00802,BINDS_CbG,ORM1,5004
Alfentanil,DB00802,BINDS_CbG,CYP3A7,1551
Dyphylline,DB00651,BINDS_CbG,PDE4D,5144
Dyphylline,DB00651,BINDS_CbG,PDE3A,5139
Dyphylline,DB00651,BINDS_CbG,PDE4B,5142
Dyphylline,DB00651,BINDS_CbG,ADORA1,134
Dyphylline,DB00651,BINDS_CbG,ADORA2A,135
Dyphylline,DB00651,BINDS_CbG,PDE7B,27115
Dyphylline,DB00651,BINDS_CbG,PDE4A,5141
Pseudoephedrine,DB00852,BINDS_CbG,NFATC1,4772
Pseudoephedrine,DB00852,BINDS_CbG,IL2,3558
Pseudoephedrine,DB00852,BINDS_CbG,ADRA1A,148
Pseudoephedrine,DB00852,BINDS_CbG,TNF,7124
Pseudoephedrine,DB00852,BINDS_CbG,CYP2D6,1565
Pseudoephedrine,DB00852,BINDS_CbG,MAOA,4128
Pseudoephedrine,DB00852,BINDS_CbG,SLC6A2,6530
Pseudoephedrine,DB00852,BINDS_CbG,ADRA2A,150
Quinestrol,DB04575,BINDS_CbG,ESR1,2099
Oxandrolone,DB00621,BINDS_CbG,AR,367
Oseltamivir,DB00198,BINDS_CbG,SLC15A1,6564
Oseltamivir,DB00198,BINDS_CbG,ABCC4,10257
Oseltamivir,DB00198,BINDS_CbG,NEU1,4758
Oseltamivir,DB00198,BINDS_CbG,CES1,1066
Magnesium Sulfate,DB00653,BINDS_CbG,CACNB2,783
Magnesium Sulfate,DB00653,BINDS_CbG,CACNA1C,775
Magnesium Sulfate,DB00653,BINDS_CbG,CACNB1,782
Magnesium Sulfate,DB00653,BINDS_CbG,CACNA2D1,781
Isoprenaline,DB01064,BINDS_CbG,PIK3R1,5295
Isoprenaline,DB01064,BINDS_CbG,PIK3R3,8503
Isoprenaline,DB01064,BINDS_CbG,ADRBK1,156
Isoprenaline,DB01064,BINDS_CbG,CYP1A1,1543
Isoprenaline,DB01064,BINDS_CbG,MAPK1,5594
Dicoumarol,DB00266,BINDS_CbG,CYP2C9,1559
Dicoumarol,DB00266,BINDS_CbG,CRYZ,1429
Dicoumarol,DB00266,BINDS_CbG,NQO1,1728
Dicoumarol,DB00266,BINDS_CbG,VKORC1,79001
Caffeine,DB00201,BINDS_CbG,CYP2C9,1559
Caffeine,DB00201,BINDS_CbG,RYR1,6261
Caffeine,DB00201,BINDS_CbG,CYP1B1,1545
Caffeine,DB00201,BINDS_CbG,PIK3CB,5291
Caffeine,DB00201,BINDS_CbG,CYP3A7,1551
Caffeine,DB00201,BINDS_CbG,CYP3A4,1576
Caffeine,DB00201,BINDS_CbG,PIK3CD,5293
Caffeine,DB00201,BINDS_CbG,CYP1A1,1543
Caffeine,DB00201,BINDS_CbG,CYP3A7-CYP3A51P,100861540
Caffeine,DB00201,BINDS_CbG,CYP2E1,1571
Caffeine,DB00201,BINDS_CbG,CYP2C8,1558
Caffeine,DB00201,BINDS_CbG,PIK3CA,5290
Caffeine,DB00201,BINDS_CbG,CYP3A5,1577
Caffeine,DB00201,BINDS_CbG,ATM,472
Caffeine,DB00201,BINDS_CbG,CYP1A2,1544
Caffeine,DB00201,BINDS_CbG,PDE4B,5142
Caffeine,DB00201,BINDS_CbG,ABCB1,5243
Caffeine,DB00201,BINDS_CbG,ADORA1,134
Caffeine,DB00201,BINDS_CbG,ADORA2A,135
Caffeine,DB00201,BINDS_CbG,PRKDC,5591
Caffeine,DB00201,BINDS_CbG,CYP2D6,1565
Atenolol,DB00335,BINDS_CbG,ABCB1,5243
Adenine,DB00173,BINDS_CbG,SRPK2,6733
Adenine,DB00173,BINDS_CbG,APRT,353
Adenine,DB00173,BINDS_CbG,ACP1,52
Adenine,DB00173,BINDS_CbG,ACACB,32
Adenine,DB00173,BINDS_CbG,PECR,55825
Adenine,DB00173,BINDS_CbG,MTAP,4507
Adenine,DB00173,BINDS_CbG,UGT1A1,54658
Apraclonidine,DB00964,BINDS_CbG,ADRA1A,148
Apraclonidine,DB00964,BINDS_CbG,ADRA2C,152
Apraclonidine,DB00964,BINDS_CbG,ADRA2A,150
Azathioprine,DB00993,BINDS_CbG,GSTA2,2939
Azathioprine,DB00993,BINDS_CbG,GSTA1,2938
Azathioprine,DB00993,BINDS_CbG,GSTM1,2944
Azathioprine,DB00993,BINDS_CbG,XDH,7498
Azathioprine,DB00993,BINDS_CbG,TPMT,7172
Azathioprine,DB00993,BINDS_CbG,HPRT1,3251
Fosinopril,DB00492,BINDS_CbG,SLC15A1,6564
Fosinopril,DB00492,BINDS_CbG,ACE,1636
Fosinopril,DB00492,BINDS_CbG,SLC15A2,6565
Dihydrotachysterol,DB01070,BINDS_CbG,VDR,7421
Adinazolam,DB00546,BINDS_CbG,GABRA2,2555
Adinazolam,DB00546,BINDS_CbG,GABRR2,2570
Adinazolam,DB00546,BINDS_CbG,GABRB3,2562
Adinazolam,DB00546,BINDS_CbG,CYP2C19,1557
Adinazolam,DB00546,BINDS_CbG,CYP3A4,1576
Adinazolam,DB00546,BINDS_CbG,GABRE,2564
Mitotane,DB00648,BINDS_CbG,SHBG,6462
Mitotane,DB00648,BINDS_CbG,CYP11A1,1583
Mitotane,DB00648,BINDS_CbG,SERPINA6,866
Mitotane,DB00648,BINDS_CbG,FDX1,2230
Acarbose,DB00284,BINDS_CbG,AMY2A,279
Acarbose,DB00284,BINDS_CbG,MGAM,8972
Acarbose,DB00284,BINDS_CbG,AMY1A,276
Acarbose,DB00284,BINDS_CbG,AMY1C,278
Acarbose,DB00284,BINDS_CbG,SI,6476
Acarbose,DB00284,BINDS_CbG,AMY1B,277
Acarbose,DB00284,BINDS_CbG,GAA,2548
Chloramphenicol,DB00446,BINDS_CbG,CD55,1604
Chloramphenicol,DB00446,BINDS_CbG,CYP2C19,1557
Chloramphenicol,DB00446,BINDS_CbG,CYP2C8,1558
Chloramphenicol,DB00446,BINDS_CbG,CYP3A5,1577
Chloramphenicol,DB00446,BINDS_CbG,CYP3A4,1576
Chloramphenicol,DB00446,BINDS_CbG,CYP3A7-CYP3A51P,100861540
Chloramphenicol,DB00446,BINDS_CbG,CYP2C9,1559
Chloramphenicol,DB00446,BINDS_CbG,CYP3A7,1551
Cyamemazine,DB09000,BINDS_CbG,HTR2A,3356
Doxazosin,DB00590,BINDS_CbG,ORM1,5004
Doxazosin,DB00590,BINDS_CbG,ADRA2A,150
Doxazosin,DB00590,BINDS_CbG,CYP2D6,1565
Doxazosin,DB00590,BINDS_CbG,CYP2C19,1557
Doxazosin,DB00590,BINDS_CbG,ABCB1,5243
Doxazosin,DB00590,BINDS_CbG,KCNH2,3757
Doxazosin,DB00590,BINDS_CbG,ADRA1A,148
Oxybuprocaine,DB00892,BINDS_CbG,SCN10A,6336
Oxybuprocaine,DB00892,BINDS_CbG,SCN3A,6328
Oxybuprocaine,DB00892,BINDS_CbG,BCHE,590
Methsuximide,DB05246,BINDS_CbG,CACNA1H,8912
Methsuximide,DB05246,BINDS_CbG,CYP2C19,1557
Methsuximide,DB05246,BINDS_CbG,CACNA1I,8911
Irbesartan,DB01029,BINDS_CbG,AGTR1,185
Irbesartan,DB01029,BINDS_CbG,CYP1A2,1544
Irbesartan,DB01029,BINDS_CbG,JUN,3725
Irbesartan,DB01029,BINDS_CbG,UGT1A3,54659
Irbesartan,DB01029,BINDS_CbG,CYP2C8,1558
Irbesartan,DB01029,BINDS_CbG,EDNRA,1909
Irbesartan,DB01029,BINDS_CbG,PTGS1,5742
Irbesartan,DB01029,BINDS_CbG,CYP2D6,1565
Irbesartan,DB01029,BINDS_CbG,CYP2C9,1559
Irbesartan,DB01029,BINDS_CbG,CYP3A4,1576
Tretinoin,DB00755,BINDS_CbG,CRABP2,1382
Tretinoin,DB00755,BINDS_CbG,ALDH1A2,8854
Tretinoin,DB00755,BINDS_CbG,RXRB,6257
Tretinoin,DB00755,BINDS_CbG,RARB,5915
Tretinoin,DB00755,BINDS_CbG,CYP2C8,1558
Tretinoin,DB00755,BINDS_CbG,CYP3A4,1576
Tretinoin,DB00755,BINDS_CbG,CYP2C9,1559
Tretinoin,DB00755,BINDS_CbG,RARA,5914
Tretinoin,DB00755,BINDS_CbG,CYP3A5,1577
Tretinoin,DB00755,BINDS_CbG,CYP4A11,1579
Tretinoin,DB00755,BINDS_CbG,CYP1A1,1543
Tretinoin,DB00755,BINDS_CbG,RXRA,6256
Tretinoin,DB00755,BINDS_CbG,CYP2C18,1562
Tretinoin,DB00755,BINDS_CbG,CYP2B6,1555
Tretinoin,DB00755,BINDS_CbG,ALDH1A1,216
Tretinoin,DB00755,BINDS_CbG,RARRES1,5918
Tretinoin,DB00755,BINDS_CbG,RARG,5916
Tretinoin,DB00755,BINDS_CbG,CYP2A6,1548
Tretinoin,DB00755,BINDS_CbG,CYP3A7,1551
Tretinoin,DB00755,BINDS_CbG,CYP3A7-CYP3A51P,100861540
Iodipamide,DB04711,BINDS_CbG,ALB,213
Dexbrompheniramine,DB00405,BINDS_CbG,KCNH2,3757
Dexbrompheniramine,DB00405,BINDS_CbG,HRH1,3269
Ofloxacin,DB01165,BINDS_CbG,SLC22A5,6584
Ofloxacin,DB01165,BINDS_CbG,ABCC1,4363
Ofloxacin,DB01165,BINDS_CbG,CYP1A2,1544
Ofloxacin,DB01165,BINDS_CbG,TOP2A,7153
Ofloxacin,DB01165,BINDS_CbG,ABCC2,1244
Ofloxacin,DB01165,BINDS_CbG,SLC22A4,6583
Warfarin,DB00682,BINDS_CbG,CYP2C9,1559
Warfarin,DB00682,BINDS_CbG,ALB,213
Warfarin,DB00682,BINDS_CbG,CYP2C8,1558
Warfarin,DB00682,BINDS_CbG,ORM1,5004
Warfarin,DB00682,BINDS_CbG,CYP3A4,1576
Warfarin,DB00682,BINDS_CbG,CYP2C19,1557
Warfarin,DB00682,BINDS_CbG,CYP1A1,1543
Warfarin,DB00682,BINDS_CbG,CYP1A2,1544
Warfarin,DB00682,BINDS_CbG,CYP2C18,1562
Warfarin,DB00682,BINDS_CbG,VKORC1,79001
Amiloride,DB00594,BINDS_CbG,SLC22A4,6583
Amiloride,DB00594,BINDS_CbG,SLC9A1,6548
Amiloride,DB00594,BINDS_CbG,SCNN1A,6337
Amiloride,DB00594,BINDS_CbG,AOC1,26
Amiloride,DB00594,BINDS_CbG,SCNN1D,6339
Amiloride,DB00594,BINDS_CbG,SCNN1B,6338
Amiloride,DB00594,BINDS_CbG,ASIC1,41
Amiloride,DB00594,BINDS_CbG,SLC22A1,6580
Amiloride,DB00594,BINDS_CbG,PLAU,5328
Zafirlukast,DB00549,BINDS_CbG,CYP2D6,1565
Zafirlukast,DB00549,BINDS_CbG,CYP3A4,1576
Zafirlukast,DB00549,BINDS_CbG,CYP2C8,1558
Zafirlukast,DB00549,BINDS_CbG,CYP2C19,1557
Zafirlukast,DB00549,BINDS_CbG,CYP2E1,1571
Zafirlukast,DB00549,BINDS_CbG,CYP1A2,1544
Zafirlukast,DB00549,BINDS_CbG,CYP2C9,1559
Zafirlukast,DB00549,BINDS_CbG,PTGS1,5742
Zafirlukast,DB00549,BINDS_CbG,ABCG2,9429
Zafirlukast,DB00549,BINDS_CbG,CYSLTR1,10800
Cefpiramide,DB00430,BINDS_CbG,ALB,213
Folic Acid,DB00158,BINDS_CbG,SLC25A32,81034
Folic Acid,DB00158,BINDS_CbG,FOLR2,2350
Folic Acid,DB00158,BINDS_CbG,ABCC11,85320
Folic Acid,DB00158,BINDS_CbG,ABCC4,10257
Folic Acid,DB00158,BINDS_CbG,MTHFR,4524
Folic Acid,DB00158,BINDS_CbG,CYP2E1,1571
Folic Acid,DB00158,BINDS_CbG,ABCG2,9429
Folic Acid,DB00158,BINDS_CbG,FOLR3,2352
Folic Acid,DB00158,BINDS_CbG,GGH,8836
Folic Acid,DB00158,BINDS_CbG,ABCC3,8714
Folic Acid,DB00158,BINDS_CbG,SLC46A1,113235
Pentazocine,DB00652,BINDS_CbG,EBP,10682
Pentazocine,DB00652,BINDS_CbG,SIGMAR1,10280
Diclofenamide,DB01144,BINDS_CbG,CA9,768
Diclofenamide,DB01144,BINDS_CbG,CA5B,11238
Diclofenamide,DB01144,BINDS_CbG,CA1,759
Diclofenamide,DB01144,BINDS_CbG,CA14,23632
Diclofenamide,DB01144,BINDS_CbG,CA4,762
Diclofenamide,DB01144,BINDS_CbG,CA2,760
Diclofenamide,DB01144,BINDS_CbG,CA5A,763
Diclofenamide,DB01144,BINDS_CbG,CYP2C9,1559
Etravirine,DB06414,BINDS_CbG,ABCB4,5244
