Gene,Gene_ID,Relation,Pathway,Pathway_ID
SMAD4,4089,PARTICIPATES_GpPW,ALK2 signaling events,PC7_1105
HRAS,3265,PARTICIPATES_GpPW,Fc-epsilon receptor I signaling in mast cells,PC7_3885
IL6,3569,PARTICIPATES_GpPW,Myometrial Relaxation and Contraction Pathways,WP289_r81078
GNAS,2778,PARTICIPATES_GpPW,Myometrial Relaxation and Contraction Pathways,WP289_r81078
HRAS,3265,PARTICIPATES_GpPW,Integrin-mediated Cell Adhesion,WP185_r80036
TP53,7157,PARTICIPATES_GpPW,Pre-NOTCH Expression and Processing,PC7_6561
TGFB1,7040,PARTICIPATES_GpPW,MicroRNAs in cardiomyocyte hypertrophy,WP1544_r84696
MUC4,4585,PARTICIPATES_GpPW,O-linked glycosylation of mucins,PC7_6001
MUC2,4583,PARTICIPATES_GpPW,O-linked glycosylation of mucins,PC7_6001
MUC1,4582,PARTICIPATES_GpPW,O-linked glycosylation of mucins,PC7_6001
HRAS,3265,PARTICIPATES_GpPW,Signaling events regulated by Ret tyrosine kinase,PC7_7499
TGFBR2,7048,PARTICIPATES_GpPW,Signaling Pathways,PC7_7439
ERBB2,2064,PARTICIPATES_GpPW,Signaling Pathways,PC7_7439
NRAS,4893,PARTICIPATES_GpPW,Signaling Pathways,PC7_7439
MMP9,4318,PARTICIPATES_GpPW,Signaling Pathways,PC7_7439
GNAS,2778,PARTICIPATES_GpPW,Signaling Pathways,PC7_7439
HRAS,3265,PARTICIPATES_GpPW,Signaling Pathways,PC7_7439
SMAD4,4089,PARTICIPATES_GpPW,Signaling Pathways,PC7_7439
TP53,7157,PARTICIPATES_GpPW,Signaling Pathways,PC7_7439
RNF43,54894,PARTICIPATES_GpPW,Signaling Pathways,PC7_7439
EGFR,1956,PARTICIPATES_GpPW,Signaling Pathways,PC7_7439
IL6,3569,PARTICIPATES_GpPW,Signaling Pathways,PC7_7439
KRAS,3845,PARTICIPATES_GpPW,Signaling Pathways,PC7_7439
TGFB1,7040,PARTICIPATES_GpPW,Signaling Pathways,PC7_7439
HRAS,3265,PARTICIPATES_GpPW,CDC42 signaling events,PC7_2263
SMAD4,4089,PARTICIPATES_GpPW,Regulation of nuclear SMAD2/3 signaling,PC7_6913
SLC5A5,6528,PARTICIPATES_GpPW,Thyroxine biosynthesis,PC7_8274
PTGS2,5743,PARTICIPATES_GpPW,Arachidonic acid metabolism,PC7_1693
TP53,7157,PARTICIPATES_GpPW,Intrinsic Pathway for Apoptosis,PC7_4785
KRAS,3845,PARTICIPATES_GpPW,ARMS-mediated activation,PC7_1163
HRAS,3265,PARTICIPATES_GpPW,ARMS-mediated activation,PC7_1163
NRAS,4893,PARTICIPATES_GpPW,ARMS-mediated activation,PC7_1163
IL6,3569,PARTICIPATES_GpPW,ARMS-mediated activation,PC7_1163
NRAS,4893,PARTICIPATES_GpPW,IRS-related events triggered by IGF1R,PC7_4664
KRAS,3845,PARTICIPATES_GpPW,IRS-related events triggered by IGF1R,PC7_4664
IL6,3569,PARTICIPATES_GpPW,IRS-related events triggered by IGF1R,PC7_4664
HRAS,3265,PARTICIPATES_GpPW,IRS-related events triggered by IGF1R,PC7_4664
ERBB2,2064,PARTICIPATES_GpPW,Leptin signaling pathway,WP2034_r80016
HRAS,3265,PARTICIPATES_GpPW,Leptin signaling pathway,WP2034_r80016
IL6,3569,PARTICIPATES_GpPW,Downstream signal transduction,PC7_3325
NRAS,4893,PARTICIPATES_GpPW,Downstream signal transduction,PC7_3325
HRAS,3265,PARTICIPATES_GpPW,Downstream signal transduction,PC7_3325
KRAS,3845,PARTICIPATES_GpPW,Downstream signal transduction,PC7_3325
ERBB2,2064,PARTICIPATES_GpPW,Downstream signal transduction,PC7_3325
EGFR,1956,PARTICIPATES_GpPW,Downstream signal transduction,PC7_3325
EGFR,1956,PARTICIPATES_GpPW,PLCG1 events in ERBB2 signaling,PC7_6180
ERBB2,2064,PARTICIPATES_GpPW,PLCG1 events in ERBB2 signaling,PC7_6180
ERBB2,2064,PARTICIPATES_GpPW,ErbB4 signaling events,PC7_3700
RNF43,54894,PARTICIPATES_GpPW,TCF dependent signaling in response to WNT,PC7_7784
GNAS,2778,PARTICIPATES_GpPW,Aquaporin-mediated transport,PC7_1691
MET,4233,PARTICIPATES_GpPW,Sema4D mediated inhibition of cell attachment and migration,PC7_7424
TP53,7157,PARTICIPATES_GpPW,Apoptosis,PC7_1684
SMAD4,4089,PARTICIPATES_GpPW,BMP receptor signaling,PC7_2012
MUC4,4585,PARTICIPATES_GpPW,O-linked glycosylation,PC7_6000
MUC2,4583,PARTICIPATES_GpPW,O-linked glycosylation,PC7_6000
MUC1,4582,PARTICIPATES_GpPW,O-linked glycosylation,PC7_6000
IDH2,3418,PARTICIPATES_GpPW,Cytosine methylation,WP3585_r84793
IDH1,3417,PARTICIPATES_GpPW,Cytosine methylation,WP3585_r84793
TP53,7157,PARTICIPATES_GpPW,p53 pathway,PC7_12271
HRAS,3265,PARTICIPATES_GpPW,BDNF signaling pathway,WP2380_r79953
NRAS,4893,PARTICIPATES_GpPW,G Protein Signaling Pathways,WP35_r79952
HRAS,3265,PARTICIPATES_GpPW,G Protein Signaling Pathways,WP35_r79952
KRAS,3845,PARTICIPATES_GpPW,G Protein Signaling Pathways,WP35_r79952
GNAS,2778,PARTICIPATES_GpPW,G Protein Signaling Pathways,WP35_r79952
KRAS,3845,PARTICIPATES_GpPW,Signaling by Leptin,PC7_7462
HRAS,3265,PARTICIPATES_GpPW,Signaling by Leptin,PC7_7462
IL6,3569,PARTICIPATES_GpPW,Signaling by Leptin,PC7_7462
NRAS,4893,PARTICIPATES_GpPW,Signaling by Leptin,PC7_7462
ERBB2,2064,PARTICIPATES_GpPW,Adaptive Immune System,PC7_1563
EGFR,1956,PARTICIPATES_GpPW,Adaptive Immune System,PC7_1563
NRAS,4893,PARTICIPATES_GpPW,Adaptive Immune System,PC7_1563
KRAS,3845,PARTICIPATES_GpPW,Adaptive Immune System,PC7_1563
HRAS,3265,PARTICIPATES_GpPW,Adaptive Immune System,PC7_1563
TP53,7157,PARTICIPATES_GpPW,Signaling by NOTCH,PC7_7465
IL6,3569,PARTICIPATES_GpPW,SIDS Susceptibility Pathways,WP706_r80056
PTGS2,5743,PARTICIPATES_GpPW,Prostaglandin Synthesis and Regulation,WP98_r72088
