"","name","Degree","Aspect"
"61","ABCA12",2,"Out degree"
"62","ABCA2",2,"Out degree"
"63","ABCA3",2,"Out degree"
"64","ABCA4",2,"Out degree"
"65","ABCA5",1,"Out degree"
"66","ABCA6",2,"Out degree"
"67","ABCA7",2,"Out degree"
"68","ABCA8",2,"Out degree"
"69","ABCA9",2,"Out degree"
"70","ABCB1",14,"Out degree"
"71","ABCB10",1,"Out degree"
"72","ABCB11",2,"Out degree"
"73","ABCB4",2,"Out degree"
"74","ABCB6",2,"Out degree"
"75","ABCB7",2,"Out degree"
"76","ABCB8",1,"Out degree"
"77","ABCB9",1,"Out degree"
"78","ABCC1",2,"Out degree"
"79","ABCC10",1,"Out degree"
"80","ABCC11",2,"Out degree"
"81","ABCC12",0,"Out degree"
"82","ABCC2",2,"Out degree"
"83","ABCC3",2,"Out degree"
"84","ABCC4",2,"Out degree"
"85","ABCC5",11,"Out degree"
"86","ABCC6",2,"Out degree"
"87","ABCC8",2,"Out degree"
"88","ABCC9",2,"Out degree"
"89","ABCD1",2,"Out degree"
"90","ABCD2",2,"Out degree"
"91","ABCD3",2,"Out degree"
"92","ABCD4",2,"Out degree"
"93","ABCE1",1,"Out degree"
"94","ABCF1",1,"Out degree"
"95","ABCF2",0,"Out degree"
"96","ABCF3",1,"Out degree"
"97","ABCG1",2,"Out degree"
"98","ABCG2",2,"Out degree"
"99","ABCG4",2,"Out degree"
"100","ABCG5",2,"Out degree"
"101","ABCG8",2,"Out degree"
"102","ABHD1",0,"Out degree"
"103","ABHD10",1,"Out degree"
"104","ABHD11",0,"Out degree"
"105","ABHD12",1,"Out degree"
"106","ABHD13",0,"Out degree"
"107","ABHD14A",0,"Out degree"
"108","ABHD14B",1,"Out degree"
"109","ABHD15",0,"Out degree"
"110","ABHD16A",0,"Out degree"
"111","ABHD16B",0,"Out degree"
"112","ABHD17A",0,"Out degree"
"113","ABHD17B",0,"Out degree"
"114","ABHD17C",0,"Out degree"
"115","ABHD2",1,"Out degree"
"116","ABHD3",1,"Out degree"
"117","ABHD4",1,"Out degree"
"118","ABHD5",2,"Out degree"
"119","ABHD6",1,"Out degree"
"120","ABHD8",0,"Out degree"
"121","ABI1",2,"Out degree"
"122","ABI2",2,"Out degree"
"123","ABI3",1,"Out degree"
"124","ABI3BP",1,"Out degree"
"125","Abiraterone",8,"Out degree"
"126","ABL1",2,"Out degree"
"127","ABL2",2,"Out degree"
"128","ABLIM1",2,"Out degree"
"129","ABLIM2",2,"Out degree"
"130","ABLIM3",2,"Out degree"
"131","Abnormal metabolism in phenylketonuria",0,"Out degree"
"132","ABR",2,"Out degree"
"133","ABRA",1,"Out degree"
"134","ABRACL",0,"Out degree"
"135","abscission",0,"Out degree"
"136","ABTB1",1,"Out degree"
"137","ABTB2",1,"Out degree"
"138","ACAA1",2,"Out degree"
"139","ACAA2",2,"Out degree"
"140","ACACA",2,"Out degree"
"141","ACACB",2,"Out degree"
"142","ACAD10",1,"Out degree"
"143","ACAD11",1,"Out degree"
"144","ACAD8",2,"Out degree"
"145","ACAD9",1,"Out degree"
"146","ACADL",2,"Out degree"
"147","ACADM",2,"Out degree"
"148","ACADS",2,"Out degree"
"149","ACADSB",2,"Out degree"
"150","ACADVL",2,"Out degree"
"151","Acamprosate",2,"Out degree"
"152","ACAN",2,"Out degree"
"153","ACAP1",2,"Out degree"
"154","ACAP2",2,"Out degree"
"155","ACAP3",1,"Out degree"
"156","Acarbose",7,"Out degree"
"157","ACAT1",2,"Out degree"
"158","ACAT2",0,"Out degree"
"159","ACBD3",1,"Out degree"
"160","ACBD4",0,"Out degree"
"161","ACBD5",1,"Out degree"
"162","ACCS",0,"Out degree"
"163","ACD",2,"Out degree"
"164","ACE",2,"Out degree"
"165","ACE Inhibitor Pathway",0,"Out degree"
"166","ACE2",2,"Out degree"
"167","Acebutolol",3,"Out degree"
"168","Acenocoumarol",7,"Out degree"
"169","Acepromazine",4,"Out degree"
"170","Aceprometazine",1,"Out degree"
"171","ACER3",2,"Out degree"
"172","Acetaminophen",22,"Out degree"
"173","Acetazolamide",10,"Out degree"
"174","Acetic acid",2,"Out degree"
"175","Acetylation",0,"Out degree"
"176","Acetylcarnitine",1,"Out degree"
"177","Acetylcholine Binding And Downstream Events",0,"Out degree"
"178","Acetylcholine Neurotransmitter Release Cycle",0,"Out degree"
"179","Acetylcholine regulates insulin secretion",0,"Out degree"
"180","Acetylcysteine",6,"Out degree"
"181","Acetyldigitoxin",7,"Out degree"
"182","Acetylsalicylic acid",14,"Out degree"
"183","ACHE",2,"Out degree"
"184","Aciclovir",3,"Out degree"
"185","acidic amino acid transport",0,"Out degree"
"186","ACIN1",2,"Out degree"
"187","Acitretin",8,"Out degree"
"188","ACKR1",2,"Out degree"
"189","ACKR2",2,"Out degree"
"190","ACKR3",2,"Out degree"
"191","ACKR4",2,"Out degree"
"192","Aclidinium",1,"Out degree"
"193","ACLY",2,"Out degree"
"194","ACMSD",2,"Out degree"
"195","ACO1",2,"Out degree"
"196","ACO2",2,"Out degree"
"197","ACOT1",1,"Out degree"
"198","ACOT12",1,"Out degree"
"199","ACOT13",1,"Out degree"
"200","ACOT2",1,"Out degree"
"201","ACOT4",1,"Out degree"
"202","ACOT7",1,"Out degree"
"203","ACOT8",2,"Out degree"
"204","ACOT9",1,"Out degree"
"205","ACOX1",2,"Out degree"
"206","ACOX2",2,"Out degree"
"207","ACOX3",2,"Out degree"
"208","ACOXL",1,"Out degree"
"209","ACP1",2,"Out degree"
"210","ACP2",1,"Out degree"
"211","ACP5",2,"Out degree"
"212","ACP6",1,"Out degree"
"213","ACPT",1,"Out degree"
"214","ACRBP",0,"Out degree"
"215","ACRC",0,"Out degree"
"216","acrosome reaction",0,"Out degree"
"217","ACSBG1",1,"Out degree"
"218","ACSF2",2,"Out degree"
"219","ACSF3",1,"Out degree"
"220","ACSL1",2,"Out degree"
"221","ACSL3",2,"Out degree"
"222","ACSL4",2,"Out degree"
"223","ACSL5",2,"Out degree"
"224","ACSL6",2,"Out degree"
"225","ACSM1",2,"Out degree"
"226","ACSM2A",2,"Out degree"
"227","ACSM2B",2,"Out degree"
"228","ACSM3",1,"Out degree"
"229","ACSM5",2,"Out degree"
"230","ACSS1",2,"Out degree"
"231","ACSS2",2,"Out degree"
"232","ACSS3",0,"Out degree"
"233","ACTA1",2,"Out degree"
"234","ACTA2",2,"Out degree"
"235","ACTB",2,"Out degree"
"236","ACTC1",2,"Out degree"
"237","ACTG1",2,"Out degree"
"238","ACTG2",2,"Out degree"
"239","actin-mediated cell contraction",0,"Out degree"
"240","actin cytoskeleton reorganization",0,"Out degree"
"241","actin filament organization",0,"Out degree"
"242","actin filament severing",0,"Out degree"
"243","Activated NOTCH1 Transmits Signal to the Nucleus",0,"Out degree"
"244","Activated point mutants of FGFR2",0,"Out degree"
"245","activated TAK1 mediates p38 MAPK activation",0,"Out degree"
"246","Activated TLR4 signalling",0,"Out degree"
"247","activation of anaphase-promoting complex activity",0,"Out degree"
"248","Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins",0,"Out degree"
"249","Activation of ATR in response to replication stress",0,"Out degree"
"250","Activation of BAD and translocation to mitochondria",0,"Out degree"
"251","Activation of BH3-only proteins",0,"Out degree"
"252","Activation of caspases through apoptosome-mediated cleavage",0,"Out degree"
"253","Activation of GABAB receptors",0,"Out degree"
"254","Activation of gene expression by SREBF (SREBP)",0,"Out degree"
"255","Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon",0,"Out degree"
"256","Activation of Matrix Metalloproteinases",0,"Out degree"
"257","Activation of NF-kappaB in B cells",0,"Out degree"
"258","Activation of NMDA receptor upon glutamate binding and postsynaptic events",0,"Out degree"
"259","Activation of NOXA and translocation to mitochondria",0,"Out degree"
"260","Activation of PKB",0,"Out degree"
"261","Activation of PPARGC1A (PGC-1alpha) by phosphorylation",0,"Out degree"
"262","Activation of PUMA and translocation to mitochondria",0,"Out degree"
"263","Activation of Rac",0,"Out degree"
"264","Activation of RAS in B cells",0,"Out degree"
"265","Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",0,"Out degree"
"266","Activation of the pre-replicative complex",0,"Out degree"
"267","Activation, translocation and oligomerization of BAX",0,"Out degree"
"268","ACTL6A",2,"Out degree"
"269","ACTN1",2,"Out degree"
"270","ACTN2",2,"Out degree"
"271","ACTN4",2,"Out degree"
"272","ACTR10",1,"Out degree"
"273","ACTR1A",2,"Out degree"
"274","ACTR1B",2,"Out degree"
"275","ACTR2",2,"Out degree"
"276","ACTR3",2,"Out degree"
"277","ACTR3B",1,"Out degree"
"278","ACTR3C",1,"Out degree"
"279","ACTR5",1,"Out degree"
"280","ACTR6",1,"Out degree"
"281","ACTR8",1,"Out degree"
"282","ACTRT3",0,"Out degree"
"283","acute-phase response",0,"Out degree"
"284","ACVR1",2,"Out degree"
"285","ACVR1B",2,"Out degree"
"286","ACVR1C",2,"Out degree"
"287","ACVR2A",2,"Out degree"
"288","ACVR2B",2,"Out degree"
"289","ACVRL1",2,"Out degree"
"290","ACY1",2,"Out degree"
"291","ACY3",2,"Out degree"
"292","Acyl chain remodeling of DAG and TAG",0,"Out degree"
"293","Acyl chain remodelling of PI",0,"Out degree"
"294","acylglycerol homeostasis",0,"Out degree"
"295","ACYP1",0,"Out degree"
"296","ACYP2",0,"Out degree"
"297","ADA",2,"Out degree"
"298","ADAL",2,"Out degree"
"299","ADAM10",29,"Out degree"
"300","ADAM12",2,"Out degree"
"301","ADAM15",2,"Out degree"
"302","ADAM17",2,"Out degree"
"303","ADAM19",1,"Out degree"
"304","ADAM22",1,"Out degree"
"305","ADAM23",1,"Out degree"
"306","ADAM28",2,"Out degree"
"307","ADAM33",0,"Out degree"
"308","ADAM8",2,"Out degree"
"309","ADAM9",2,"Out degree"
"310","ADAMDEC1",1,"Out degree"
"311","ADAMTS1",2,"Out degree"
"312","ADAMTS10",1,"Out degree"
"313","ADAMTS12",2,"Out degree"
"314","ADAMTS13",2,"Out degree"
"315","ADAMTS15",1,"Out degree"
"316","ADAMTS17",1,"Out degree"
"317","ADAMTS2",2,"Out degree"
"318","ADAMTS20",2,"Out degree"
"319","ADAMTS3",2,"Out degree"
"320","ADAMTS5",2,"Out degree"
"321","ADAMTS7",2,"Out degree"
"322","ADAMTS9",2,"Out degree"
"323","ADAMTSL1",2,"Out degree"
"324","ADAMTSL2",2,"Out degree"
"325","ADAMTSL3",1,"Out degree"
"326","ADAMTSL4",2,"Out degree"
"327","ADAMTSL5",1,"Out degree"
"328","ADAP1",2,"Out degree"
"329","ADAP2",1,"Out degree"
"330","Adapalene",5,"Out degree"
"331","adaptive immune response",0,"Out degree"
"332","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",0,"Out degree"
"333","Adaptive Immune System",0,"Out degree"
"334","ADAR",2,"Out degree"
"335","ADARB1",2,"Out degree"
"336","ADAT2",1,"Out degree"
"337","ADAT3",1,"Out degree"
"338","ADCK1",1,"Out degree"
"339","ADCK2",1,"Out degree"
"340","ADCK3",1,"Out degree"
"341","ADCK4",1,"Out degree"
"342","ADCK5",1,"Out degree"
"343","ADCY1",2,"Out degree"
"344","ADCY2",2,"Out degree"
"345","ADCY3",2,"Out degree"
"346","ADCY4",2,"Out degree"
"347","ADCY5",2,"Out degree"
"348","ADCY6",2,"Out degree"
"349","ADCY7",2,"Out degree"
"350","ADCY9",2,"Out degree"
"351","ADCYAP1",2,"Out degree"
"352","ADCYAP1R1",2,"Out degree"
"353","ADD1",2,"Out degree"
"354","ADD2",1,"Out degree"
"355","ADD3",1,"Out degree"
"356","Adefovir Dipivoxil",8,"Out degree"
"357","Adenine",7,"Out degree"
"358","adenine nucleotide transport",0,"Out degree"
"359","Adenosine",6,"Out degree"
"360","Adenosine monophosphate",18,"Out degree"
"361","adenosine to inosine editing",0,"Out degree"
"362","Adenosine triphosphate",35,"Out degree"
"363","adenylate cyclase-modulating G-protein coupled receptor signaling pathway",0,"Out degree"
"364","Adenylate cyclase inhibitory pathway",0,"Out degree"
"365","ADGRA2",2,"Out degree"
"366","ADGRA3",0,"Out degree"
"367","ADGRD1",2,"Out degree"
"368","ADGRE1",2,"Out degree"
"369","ADGRE2",2,"Out degree"
"370","ADGRE5",6,"Out degree"
"371","ADGRF5",2,"Out degree"
"372","ADGRG1",2,"Out degree"
"373","ADGRG2",2,"Out degree"
"374","ADGRG3",1,"Out degree"
"375","ADGRG5",0,"Out degree"
"376","ADGRG6",1,"Out degree"
"377","ADGRG7",0,"Out degree"
"378","ADGRL1",2,"Out degree"
"379","ADGRL2",2,"Out degree"
"380","ADGRL3",2,"Out degree"
"381","ADGRL4",1,"Out degree"
"382","ADGRV1",2,"Out degree"
"383","ADH1A",2,"Out degree"
"384","ADH1B",2,"Out degree"
"385","ADH1C",2,"Out degree"
"386","ADH4",2,"Out degree"
"387","ADH5",2,"Out degree"
"388","ADH6",2,"Out degree"
"389","ADH7",2,"Out degree"
"390","Adherens junctions interactions",0,"Out degree"
"391","ADHFE1",2,"Out degree"
"392","ADI1",6,"Out degree"
"393","Adinazolam",6,"Out degree"
"394","Adipogenesis",0,"Out degree"
"395","ADIPOQ",2,"Out degree"
"396","ADIPOR1",2,"Out degree"
"397","ADIPOR2",2,"Out degree"
"398","ADIRF",1,"Out degree"
"399","ADK",2,"Out degree"
"400","ADM",10,"Out degree"
"401","ADM2",2,"Out degree"
"402","ADNP",1,"Out degree"
"403","ADNP2",1,"Out degree"
"404","ADO",1,"Out degree"
"405","ADORA1",2,"Out degree"
"406","ADORA2A",2,"Out degree"
"407","ADORA3",2,"Out degree"
"408","ADP signalling through P2Y purinoceptor 12",0,"Out degree"
"409","ADPGK",1,"Out degree"
"410","ADPRH",1,"Out degree"
"411","ADPRHL2",1,"Out degree"
"412","ADPRM",1,"Out degree"
"413","ADRA1A",16,"Out degree"
"414","ADRA1B",15,"Out degree"
"415","ADRA1D",14,"Out degree"
"416","ADRA2A",20,"Out degree"
"417","ADRA2B",15,"Out degree"
"418","ADRA2C",20,"Out degree"
"419","ADRBK1",2,"Out degree"
"420","ADRBK2",2,"Out degree"
"421","Adrenaline signalling through Alpha-2 adrenergic receptor",0,"Out degree"
"422","Adrenaline,noradrenaline inhibits insulin secretion",0,"Out degree"
"423","Adrenoceptors",0,"Out degree"
"424","ADRM1",2,"Out degree"
"425","ADSL",6,"Out degree"
"426","ADSS",2,"Out degree"
"427","ADSSL1",2,"Out degree"
"428","ADTRP",0,"Out degree"
"429","Advanced glycosylation endproduct receptor signaling",0,"Out degree"
"430","AEBP1",1,"Out degree"
"431","AEBP2",2,"Out degree"
"432","AEN",2,"Out degree"
"433","AES",2,"Out degree"
"434","AFAP1",1,"Out degree"
"435","AFAP1L1",0,"Out degree"
"436","AFAP1L2",1,"Out degree"
"437","Afatinib",10,"Out degree"
"438","AFF1",0,"Out degree"
"439","AFF3",1,"Out degree"
"440","AFF4",1,"Out degree"
"441","AFG3L2",1,"Out degree"
"442","Aflatoxin activation and detoxification",0,"Out degree"
"443","Aflatoxin B1 metabolism",0,"Out degree"
"444","AFM",1,"Out degree"
"445","AFMID",2,"Out degree"
"446","AFP",2,"Out degree"
"447","AFTPH",0,"Out degree"
"448","AGA",1,"Out degree"
"449","AGAP1",1,"Out degree"
"450","AGAP2",2,"Out degree"
"451","AGAP3",1,"Out degree"
"452","AGAP4",1,"Out degree"
"453","AGAP6",1,"Out degree"
"454","AGAP9",1,"Out degree"
"455","AGBL2",1,"Out degree"
"456","AGBL3",1,"Out degree"
"457","AGBL5",1,"Out degree"
"458","AGE/RAGE pathway",0,"Out degree"
"459","AGER",2,"Out degree"
"460","AGFG1",1,"Out degree"
"461","AGFG2",1,"Out degree"
"462","AGGF1",1,"Out degree"
"463","aging",0,"Out degree"
"464","AGK",1,"Out degree"
"465","AGL",2,"Out degree"
"466","AGMAT",2,"Out degree"
"467","AGMO",1,"Out degree"
"468","AGO2",2,"Out degree"
"469","AGO3",2,"Out degree"
"470","AGO4",2,"Out degree"
"471","Agomelatine",3,"Out degree"
"472","AGPAT1",2,"Out degree"
"473","AGPAT2",2,"Out degree"
"474","AGPAT3",2,"Out degree"
"475","AGPAT4",2,"Out degree"
"476","AGPAT6",2,"Out degree"
"477","AGPAT9",2,"Out degree"
"478","AGPS",2,"Out degree"
"479","AGR2",1,"Out degree"
"480","AGR3",0,"Out degree"
"481","AGRN",2,"Out degree"
"482","AGT",2,"Out degree"
"483","AGTPBP1",1,"Out degree"
"484","AGTR1",2,"Out degree"
"485","AGTR2",2,"Out degree"
"486","AGTRAP",1,"Out degree"
"487","AGXT",2,"Out degree"
"488","AGXT2",2,"Out degree"
"489","AHCTF1",2,"Out degree"
"490","AHCY",2,"Out degree"
"491","AHCYL1",2,"Out degree"
"492","AHCYL2",2,"Out degree"
"493","AHDC1",0,"Out degree"
"494","AHI1",2,"Out degree"
"495","AHNAK",1,"Out degree"
"496","AHNAK2",0,"Out degree"
"497","AHR",2,"Out degree"
"498","AHRR",2,"Out degree"
"499","AHSA1",1,"Out degree"
"500","AHSA2",1,"Out degree"
"501","AHSG",2,"Out degree"
"502","AICDA",2,"Out degree"
"503","AIDA",1,"Out degree"
"504","AIF1",2,"Out degree"
"505","AIF1L",0,"Out degree"
"506","AIFM1",2,"Out degree"
"507","AIFM2",2,"Out degree"
"508","AIFM3",1,"Out degree"
"509","AIG1",0,"Out degree"
"510","AIM1",0,"Out degree"
"511","AIM2",2,"Out degree"
"512","AIMP1",2,"Out degree"
"513","AIMP2",2,"Out degree"
"514","AIP",2,"Out degree"
"515","AIRE",1,"Out degree"
"516","Ajmaline",2,"Out degree"
"517","AJUBA",2,"Out degree"
"518","AK1",2,"Out degree"
"519","AK2",2,"Out degree"
"520","AK3",2,"Out degree"
"521","AK4",1,"Out degree"
"522","AK5",2,"Out degree"
"523","AK6",2,"Out degree"
"524","AK9",1,"Out degree"
"525","AKAP1",2,"Out degree"
"526","AKAP10",2,"Out degree"
"527","AKAP11",2,"Out degree"
"528","AKAP12",2,"Out degree"
"529","AKAP13",2,"Out degree"
"530","AKAP17A",1,"Out degree"
"531","AKAP3",2,"Out degree"
"532","AKAP5",2,"Out degree"
"533","AKAP7",2,"Out degree"
"534","AKAP8",2,"Out degree"
"535","AKAP8L",0,"Out degree"
"536","AKAP9",2,"Out degree"
"537","AKIP1",1,"Out degree"
"538","AKIRIN1",0,"Out degree"
"539","AKIRIN2",1,"Out degree"
"540","AKNA",1,"Out degree"
"541","AKR1A1",2,"Out degree"
"542","AKR1B1",2,"Out degree"
"543","AKR1B10",6,"Out degree"
"544","AKR1C2",2,"Out degree"
"545","AKR1C3",2,"Out degree"
"546","AKR1C4",2,"Out degree"
"547","AKR1D1",2,"Out degree"
"548","AKR7A2",6,"Out degree"
"549","AKR7A3",2,"Out degree"
"550","AKT phosphorylates targets in the nucleus",0,"Out degree"
"551","AKT1",2,"Out degree"
"552","AKT1S1",2,"Out degree"
"553","AKT2",2,"Out degree"
"554","AKT3",2,"Out degree"
"555","AKTIP",1,"Out degree"
"556","ALAD",2,"Out degree"
"557","Alanine and aspartate metabolism",0,"Out degree"
"558","alanine metabolic process",0,"Out degree"
"559","ALAS1",2,"Out degree"
"560","ALAS2",2,"Out degree"
"561","ALB",22,"Out degree"
"562","Albendazole",6,"Out degree"
"563","Alcaftadine",1,"Out degree"
"564","ALCAM",2,"Out degree"
"565","Alclometasone",3,"Out degree"
"566","alcohol metabolic process",0,"Out degree"
"567","ALDH16A1",1,"Out degree"
"568","ALDH18A1",2,"Out degree"
"569","ALDH1A1",2,"Out degree"
"570","ALDH1A2",2,"Out degree"
"571","ALDH1A3",2,"Out degree"
"572","ALDH1B1",1,"Out degree"
"573","ALDH1L1",2,"Out degree"
"574","ALDH1L2",1,"Out degree"
"575","ALDH2",2,"Out degree"
"576","ALDH3A1",2,"Out degree"
"577","ALDH3A2",2,"Out degree"
"578","ALDH3B1",1,"Out degree"
"579","ALDH4A1",2,"Out degree"
"580","ALDH5A1",2,"Out degree"
"581","ALDH6A1",2,"Out degree"
"582","ALDH7A1",2,"Out degree"
"583","ALDH8A1",1,"Out degree"
"584","ALDH9A1",2,"Out degree"
"585","ALDOA",2,"Out degree"
"586","ALDOB",2,"Out degree"
"587","ALDOC",8,"Out degree"
"588","Alendronate",5,"Out degree"
"589","Alfacalcidol",2,"Out degree"
"590","Alfentanil",7,"Out degree"
"591","Alfuzosin",3,"Out degree"
"592","ALG1",2,"Out degree"
"593","ALG10",2,"Out degree"
"594","ALG10B",2,"Out degree"
"595","ALG11",2,"Out degree"
"596","ALG13",2,"Out degree"
"597","ALG14",2,"Out degree"
"598","ALG2",2,"Out degree"
"599","ALG3",2,"Out degree"
"600","ALG5",2,"Out degree"
"601","ALG6",2,"Out degree"
"602","ALG8",2,"Out degree"
"603","ALG9",2,"Out degree"
"604","Alimemazine",2,"Out degree"
"605","Alitretinoin",8,"Out degree"
"606","ALK",2,"Out degree"
"607","ALK1 signaling events",0,"Out degree"
"608","ALK2 signaling events",0,"Out degree"
"609","ALKBH1",2,"Out degree"
"610","ALKBH2",2,"Out degree"
"611","ALKBH3",2,"Out degree"
"612","ALKBH4",1,"Out degree"
"613","ALKBH5",1,"Out degree"
"614","ALKBH6",1,"Out degree"
"615","ALKBH7",1,"Out degree"
"616","ALKBH8",1,"Out degree"
"617","ALLC",1,"Out degree"
"618","Allograft Rejection",0,"Out degree"
"619","Allopurinol",3,"Out degree"
"620","Allylestrenol",3,"Out degree"
"621","Almitrine",1,"Out degree"
"622","Almotriptan",8,"Out degree"
"623","ALMS1",2,"Out degree"
"624","Alogliptin",3,"Out degree"
"625","Alosetron",4,"Out degree"
"626","ALOX15B",2,"Out degree"
"627","ALOX5",2,"Out degree"
"628","ALOX5AP",2,"Out degree"
"629","alpha-amino acid metabolic process",0,"Out degree"
"630","alpha-linolenic (omega3) and linoleic (omega6) acid metabolism",0,"Out degree"
"631","Alpha-Linolenic Acid",5,"Out degree"
"632","Alpha-oxidation of phytanate",0,"Out degree"
"633","Alpha-synuclein signaling",0,"Out degree"
"634","Alpha 6 Beta 4 signaling pathway",0,"Out degree"
"635","Alpha4 beta1 integrin signaling events",0,"Out degree"
"636","Alpha6 beta4 integrin-ligand interactions",0,"Out degree"
"637","Alpha9 beta1 integrin signaling events",0,"Out degree"
"638","AlphaE beta7 integrin cell surface interactions",0,"Out degree"
"639","ALPI",1,"Out degree"
"640","ALPK1",1,"Out degree"
"641","ALPK2",1,"Out degree"
"642","ALPK3",1,"Out degree"
"643","ALPL",2,"Out degree"
"644","ALPP",1,"Out degree"
"645","ALPPL2",1,"Out degree"
"646","Alprazolam",7,"Out degree"
"647","Alprenolol",1,"Out degree"
"648","Alprostadil",8,"Out degree"
"649","ALS2",2,"Out degree"
"650","ALS2CL",1,"Out degree"
"651","Alternative NF-kappaB pathway",0,"Out degree"
"652","Aluminium",2,"Out degree"
"653","ALYREF",2,"Out degree"
"654","Alzheimers Disease",0,"Out degree"
"655","AMACR",2,"Out degree"
"656","Amantadine",5,"Out degree"
"657","amb2 Integrin signaling",0,"Out degree"
"658","Ambenonium",2,"Out degree"
"659","AMBP",2,"Out degree"
"660","AMBRA1",2,"Out degree"
"661","Amcinonide",2,"Out degree"
"662","AMD1",2,"Out degree"
"663","AMDHD1",2,"Out degree"
"664","AMDHD2",1,"Out degree"
"665","AMER1",2,"Out degree"
"666","AMER1 mutants destabilize the destruction complex",0,"Out degree"
"667","AMFR",2,"Out degree"
"668","AMHR2",2,"Out degree"
"669","AMICA1",2,"Out degree"
"670","amide transport",0,"Out degree"
"671","Amifostine",3,"Out degree"
"672","AMIGO1",1,"Out degree"
"673","AMIGO2",1,"Out degree"
"674","Amiloride",9,"Out degree"
"675","Amine-derived hormones",0,"Out degree"
"676","Amine compound SLC transporters",0,"Out degree"
"677","Amine ligand-binding receptors",0,"Out degree"
"678","amine metabolic process",0,"Out degree"
"679","Amino acid and derivative metabolism",0,"Out degree"
"680","Amino acid and oligopeptide SLC transporters",0,"Out degree"
"681","Amino acid synthesis and interconversion (transamination)",0,"Out degree"
"682","Amino acid transport across the plasma membrane",0,"Out degree"
"683","Aminocaproic Acid",3,"Out degree"
"684","Aminoglutethimide",5,"Out degree"
"685","aminoglycan biosynthetic process",0,"Out degree"
"686","aminoglycan catabolic process",0,"Out degree"
"687","Aminohippurate",12,"Out degree"
"688","Aminolevulinic acid",3,"Out degree"
"689","Aminophenazone",10,"Out degree"
"690","Aminophylline",8,"Out degree"
"691","Aminosalicylic Acid",5,"Out degree"
"692","Amiodarone",19,"Out degree"
"693","Amisulpride",3,"Out degree"
"694","Amitriptyline",22,"Out degree"
"695","Amlexanox",7,"Out degree"
"696","Amlodipine",20,"Out degree"
"697","AMMECR1",0,"Out degree"
"698","AMMECR1L",0,"Out degree"
"699","AMN",2,"Out degree"
"700","AMN1",0,"Out degree"
"701","Amobarbital",2,"Out degree"
"702","Amodiaquine",6,"Out degree"
"703","AMOT",2,"Out degree"
"704","AMOTL1",2,"Out degree"
"705","AMOTL2",2,"Out degree"
"706","Amoxapine",9,"Out degree"
"707","Amoxicillin",3,"Out degree"
"708","AMPD1",2,"Out degree"
"709","AMPD2",2,"Out degree"
"710","AMPD3",2,"Out degree"
"711","AMPH",2,"Out degree"
"712","Amphetamine",8,"Out degree"
