"","name","closeness","Category","closenessPercent"
"49","ADP signalling through P2Y purinoceptor 12",0.270369284876905,"Pathway",35
"50","ADRA1A",0.296910202767943,"Gene",72
"51","ADRA1B",0.296528447444552,"Gene",72
"52","ADRA1D",0.296433161953727,"Gene",72
"53","ADRA2A",0.306274900398406,"Gene",74
"54","ADRA2B",0.282455603184323,"Gene",57
"55","ADRA2C",0.306274900398406,"Gene",74
"56","Adrenaline signalling through Alpha-2 adrenergic receptor",0.234613428280773,"Pathway",5
"57","Adrenaline,noradrenaline inhibits insulin secretion",0.272204190026556,"Pathway",39
"58","Adrenoceptors",0.240296952331336,"Pathway",6
"59","ADSL",0.356177606177606,"Gene",95
"60","Advanced glycosylation endproduct receptor signaling",0.264629948364888,"Pathway",24
"61","AFF1",0.340154867256637,"Gene",76
"62","Aflatoxin activation and detoxification",0.273820124666073,"Pathway",43
"63","Aflatoxin B1 metabolism",0.273738872403561,"Pathway",43
"64","AGE/RAGE pathway",0.284722222222222,"Pathway",61
"65","AKR1B10",0.354807692307692,"Gene",94
"66","AKR7A2",0.356177606177606,"Gene",95
"67","AKT phosphorylates targets in the nucleus",0.265238642898217,"Pathway",25
"68","ALB",0.297676669893514,"Gene",72
"69","ALDOC",0.36520190023753,"Gene",99
"70","Allograft Rejection",0.269657994738381,"Pathway",34
"71","alpha-linolenic (omega3) and linoleic (omega6) acid metabolism",0.21518544436669,"Pathway",1
"72","Alpha-synuclein signaling",0.281679389312977,"Pathway",55
"73","Alpha 6 Beta 4 signaling pathway",0.276197604790419,"Pathway",48
"74","Alpha4 beta1 integrin signaling events",0.266541462005201,"Pathway",26
"75","Alpha6 beta4 integrin-ligand interactions",0.257250418293363,"Pathway",11
"76","AlphaE beta7 integrin cell surface interactions",0.259129213483146,"Pathway",13
"77","Alternative NF-kappaB pathway",0.260961810466761,"Pathway",15
"78","Alzheimers Disease",0.277360192423331,"Pathway",50
"79","amb2 Integrin signaling",0.258765778401122,"Pathway",13
"80","AMER1 mutants destabilize the destruction complex",0.284195933456562,"Pathway",61
"81","AMFR",0.342682020802377,"Gene",87
"82","Amine compound SLC transporters",0.273009766203019,"Pathway",41
"83","Amine ligand-binding receptors",0.244047619047619,"Pathway",7
"84","Amino acid and derivative metabolism",0.278700906344411,"Pathway",52
"85","Amino acid and oligopeptide SLC transporters",0.258403361344538,"Pathway",12
"86","Amino acid synthesis and interconversion (transamination)",0.262596071733561,"Pathway",18
"87","Amino acid transport across the plasma membrane",0.258403361344538,"Pathway",12
"88","AMPK inhibits chREBP transcriptional activation activity",0.268793706293706,"Pathway",32
"89","AMPK Signaling",0.277193509615385,"Pathway",50
"90","Amyloids",0.268324607329843,"Pathway",31
"91","Amyotrophic lateral sclerosis (ALS)",0.264629948364888,"Pathway",24
"92","Anchoring fibril formation",0.256677796327212,"Pathway",10
"93","Androgen receptor signaling pathway",0.276445909499551,"Pathway",48
"94","Angiopoietin receptor Tie2-mediated signaling",0.286046511627907,"Pathway",63
"95","ANKRD17",0.340154867256637,"Gene",76
"96","ANKS1A",0.340154867256637,"Gene",76
"97","Antigen activates B Cell Receptor (BCR) leading to generation of second messengers",0.281421598535692,"Pathway",55
"98","Antigen Presentation: Folding, assembly and peptide loading of class I MHC",0.255327982286189,"Pathway",9
"99","Antigen processing-Cross presentation",0.28393351800554,"Pathway",60
"100","Antigen processing: Ubiquitination & Proteasome degradation",0.286757848927572,"Pathway",64
"101","Antiviral mechanism by IFN-stimulated genes",0.286579683131407,"Pathway",64
"102","ANXA4",0.340405904059041,"Gene",84
"103","AP-1 transcription factor network",0.282801961986511,"Pathway",59
"104","AP2S1",0.358670295489891,"Gene",97
"105","APAF1",0.346804511278196,"Gene",91
"106","APC-Cdc20 mediated degradation of Nek2A",0.284371146732429,"Pathway",61
"107","APC/C-mediated degradation of cell cycle proteins",0.287293677981937,"Pathway",65
"108","APC/C:Cdc20 mediated degradation of Cyclin B",0.284371146732429,"Pathway",61
"109","APC/C:Cdc20 mediated degradation of mitotic proteins",0.28516228748068,"Pathway",62
"110","APC/C:Cdc20 mediated degradation of Securin",0.28516228748068,"Pathway",62
"111","APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1",0.285692164756891,"Pathway",63
"112","APEX1",0.349564228874574,"Gene",92
"113","APLP2",0.340154867256637,"Gene",76
"114","APOBEC3G mediated resistance to HIV-1 infection",0.258765778401122,"Pathway",13
"115","Apoptosis",0.297484682360529,"Pathway",72
"116","Apoptosis",0.297484682360529,"Pathway",72
"117","Apoptosis",0.284634372107374,"Pathway",61
"118","Apoptosis",0.284634372107374,"Pathway",61
"119","Apoptosis-related network due to altered Notch3 in ovarian cancer",0.282888684452622,"Pathway",59
"120","Apoptosis Modulation and Signaling",0.279122541603631,"Pathway",52
"121","Apoptosis Modulation by HSP70",0.270766069856178,"Pathway",37
"122","Apoptotic cleavage of cell adhesion proteins",0.263646756216062,"Pathway",20
"123","Apoptotic cleavage of cellular proteins",0.268012783265543,"Pathway",29
"124","Apoptotic execution phase",0.26863715783343,"Pathway",32
"125","Apoptotic factor-mediated response",0.267624020887728,"Pathway",28
"126","APP",0.359789391575663,"Gene",98
"127","APPL1",0.340783154783894,"Gene",84
"128","APRT",0.356040138942493,"Gene",95
"129","Aquaporin-mediated transport",0.270527859237537,"Pathway",36
"130","Arachidonate Epoxygenase / Epoxide Hydrolase",0.270527859237537,"Pathway",36
"131","Arachidonic acid metabolism",0.275619958171497,"Pathway",47
"132","Arf6 downstream pathway",0.264175257731959,"Pathway",22
"133","Arf6 signaling events",0.263948497854077,"Pathway",21
"134","Arf6 trafficking events",0.267468831545375,"Pathway",28
"135","ARID4A",0.340783154783894,"Gene",84
"136","ARMS-mediated activation",0.266541462005201,"Pathway",26
"137","Arrhythmogenic Right Ventricular Cardiomyopathy",0.269894675248683,"Pathway",34
"138","Aryl Hydrocarbon Receptor",0.288101186758276,"Pathway",65
"139","Aryl Hydrocarbon Receptor Pathway",0.283846153846154,"Pathway",60
"140","Arylamine metabolism",0.225770925110132,"Pathway",3
"141","Asparagine N-linked glycosylation",0.271164021164021,"Pathway",37
"142","Assembly of collagen fibrils and other multimeric structures",0.264781859931114,"Pathway",24
"143","Assembly Of The HIV Virion",0.281937652811736,"Pathway",56
"144","Assembly of the pre-replicative complex",0.284195933456562,"Pathway",61
"145","Assembly of the RAD51-ssDNA nucleoprotein complex",0.25963974106389,"Pathway",14
"146","Association of licensing factors with the pre-replicative complex",0.282715292675452,"Pathway",58
"147","Association of TriC/CCT with target proteins during biosynthesis",0.255398671096346,"Pathway",9
"148","Astrocytic Glutamate-Glutamine Uptake And Metabolism",0.257393973214286,"Pathway",11
"149","ASUN",0.340154867256637,"Gene",76
"150","Asymmetric localization of PCP proteins",0.283497234173325,"Pathway",60
"151","ATF-2 transcription factor network",0.277027027027027,"Pathway",49
"152","ATF6-alpha activates chaperones",0.263345703682558,"Pathway",19
"153","ATG3",0.340783154783894,"Gene",84
"154","ATM Signaling Pathway",0.260740531373657,"Pathway",15
"155","ATP1B1",0.351027397260274,"Gene",93
"156","ATP6V0B",0.298640336678537,"Gene",73
"157","ATP6V1D",0.298640336678537,"Gene",73
"158","ATR signaling pathway",0.270369284876905,"Pathway",35
"159","ATRN",0.340154867256637,"Gene",76
"160","Attenuation phase",0.275126752162243,"Pathway",46
"161","Atypical NF-kappaB pathway",0.262820512820513,"Pathway",18
"162","AUF1 (hnRNP D0) destabilizes mRNA",0.285603715170279,"Pathway",63
"163","AURKB",0.3460240060015,"Gene",90
"164","Aurora A signaling",0.276860744297719,"Pathway",49
"165","Aurora B signaling",0.266618497109827,"Pathway",27
"166","Aurora C signaling",0.257107023411371,"Pathway",11
"167","Autodegradation of Cdh1 by Cdh1:APC/C",0.283323095823096,"Pathway",59
"168","Autodegradation of the E3 ubiquitin ligase COP1",0.282715292675452,"Pathway",58
"169","Autointegration results in viral DNA circles",0.258765778401122,"Pathway",13
"170","Axon guidance",0.29796511627907,"Pathway",73
"171","B Cell Activation",0.3075,"Pathway",74
"172","B Cell Receptor Signaling Pathway",0.297388781431335,"Pathway",72
"173","B3GALNT1",0.34028033935817,"Gene",83
"174","BABAM1",0.340154867256637,"Gene",76
"175","BAG3",0.34028033935817,"Gene",83
"176","BANF1",0.349035187287174,"Gene",92
"177","BARD1 signaling events",0.272043644942495,"Pathway",39
"178","Base-Excision Repair, AP Site Formation",0.255257332595462,"Pathway",9
"179","Base-free sugar-phosphate removal via the single-nucleotide replacement pathway",0.259347764970481,"Pathway",14
"180","Base Excision Repair",0.271963443396226,"Pathway",39
"181","Basigin interactions",0.259859154929577,"Pathway",14
"182","BAX",0.351428571428571,"Gene",93
"183","BCAP31",0.340531561461794,"Gene",84
"184","BCL2",0.3539907904835,"Gene",94
"185","BCR signaling pathway",0.278532608695652,"Pathway",51
"186","BCS1L",0.341793256761764,"Gene",86
"187","BDNF signaling pathway",0.292671319796954,"Pathway",69
"188","Benzo(a)pyrene metabolism",0.226269315673289,"Pathway",3
"189","beta-catenin independent WNT signaling",0.286757848927572,"Pathway",64
"190","Beta-catenin phosphorylation cascade",0.262670842824601,"Pathway",18
"191","Beta1 integrin cell surface interactions",0.262820512820513,"Pathway",18
"192","Beta2 integrin cell surface interactions",0.258838383838384,"Pathway",13
"193","Beta3 integrin cell surface interactions",0.272686964232929,"Pathway",40
"194","Beta5 beta6 beta7 and beta8 integrin cell surface interactions",0.267624020887728,"Pathway",28
"195","BFAR",0.340154867256637,"Gene",76
"196","BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members",0.261479591836735,"Pathway",16
"197","Bile acid and bile salt metabolism",0.273252369668246,"Pathway",42
"198","Binding and Uptake of Ligands by Scavenger Receptors",0.276032315978456,"Pathway",48
"199","binding of TCF/LEF:CTNNB1 to target gene promoters",0.249459167117361,"Pathway",8
"200","Biological oxidations",0.279799818016379,"Pathway",53
"201","Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein",0.224890297415895,"Pathway",3
"202","BIRC5",0.347326807228916,"Gene",91
"203","Bladder Cancer",0.278785131459655,"Pathway",52
"204","BMAL1:CLOCK,NPAS2 activates circadian gene expression",0.272686964232929,"Pathway",40
"205","BMI1",0.342936802973978,"Gene",88
"206","BMP receptor signaling",0.262372013651877,"Pathway",17
"207","Branched-chain amino acid catabolism",0.219173200285103,"Pathway",2
"208","BTK",0.346413819001127,"Gene",91
"209","Budding and maturation of HIV virion",0.281937652811736,"Pathway",56
"210","Bupropion",0.301963993453355,"Compound",73
"211","C-MYB transcription factor network",0.292393026941363,"Pathway",69
"212","C-MYC pathway",0.277027027027027,"Pathway",49
"213","C14orf1",0.241176470588235,"Gene",6
"214","C1QBP",0.343191964285714,"Gene",88
"215","C2CD2",0.340154867256637,"Gene",76
"216","C2CD5",0.341793256761764,"Gene",86
"217","Calcineurin-regulated NFAT-dependent transcription in lymphocytes",0.27611493564801,"Pathway",48
"218","Calcitonin-like ligand receptors",0.219381688466112,"Pathway",2
"219","Calcium Regulation in the Cardiac Cell",0.282801961986511,"Pathway",59
"220","Calcium signaling in the CD4+ TCR pathway",0.266618497109827,"Pathway",27
"221","Calnexin/calreticulin cycle",0.255257332595462,"Pathway",9
"222","CAMSAP1",0.340154867256637,"Gene",76
"223","Canonical NF-kappaB pathway",0.267391304347826,"Pathway",28
"224","Canonical Wnt signaling pathway",0.2677793904209,"Pathway",29
"225","CANT1",0.340154867256637,"Gene",76
"226","Cap-dependent Translation Initiation",0.268168604651163,"Pathway",30
"227","CAPN3",0.34028033935817,"Gene",83
"228","CAPN7",0.34028033935817,"Gene",83
"229","Carbohydrate metabolism",0.291653493518811,"Pathway",68
"230","Cardiac Hypertrophic Response",0.264629948364888,"Pathway",24
"231","Cardiac Progenitor Differentiation",0.269421728971963,"Pathway",33
"232","CASP2",0.352637614678899,"Gene",94
"233","Caspase Cascade in Apoptosis",0.278869407496977,"Pathway",52
"234","CAST",0.230164670658683,"Gene",5
"235","CCNA2",0.288011239463003,"Gene",65
"236","CCP110",0.344859813084112,"Gene",90
"237","CCT2",0.342554771630152,"Gene",87
"238","CCT3",0.342554771630152,"Gene",87
"239","CCT5",0.342554771630152,"Gene",87
"240","CD28 co-stimulation",0.281593406593407,"Pathway",55
"241","CD28 dependent PI3K/Akt signaling",0.278785131459655,"Pathway",52
"242","CD28 dependent Vav1 pathway",0.273414344991108,"Pathway",42
"243","CD2BP2",0.343575418994413,"Gene",89
"244","CD40/CD40L signaling",0.28013969025205,"Pathway",54
"245","CD44",0.361764705882353,"Gene",99
"246","CDC14B",0.341793256761764,"Gene",86
"247","CDC20",0.36520190023753,"Gene",99
"248","Cdc20:Phospho-APC/C mediated degradation of Cyclin A",0.286847014925373,"Pathway",64
"249","CDC25B",0.346804511278196,"Gene",91
"250","CDC42 signaling events",0.267934940458902,"Pathway",29
"251","CDC6 association with the ORC:origin complex",0.257825600894354,"Pathway",11
"252","CDH1",0.349696739954511,"Gene",92
"253","CDK-mediated phosphorylation and removal of Cdc6",0.282715292675452,"Pathway",58
"254","CDK7",0.353177641653905,"Gene",94
"255","CDT1 association with the CDC6:ORC:origin complex",0.282801961986511,"Pathway",59
"256","CEBPB",0.360915492957746,"Gene",98
"257","Cell-Cell communication",0.279376135675348,"Pathway",53
"258","Cell-cell junction organization",0.263270547945205,"Pathway",19
"259","Cell-extracellular matrix interactions",0.254132231404959,"Pathway",8
"260","Cell Cycle",0.285603715170279,"Pathway",63
"261","Cell Cycle",0.285603715170279,"Pathway",63
"262","Cell Cycle",0.31722833562586,"Pathway",75
"263","Cell Cycle",0.31722833562586,"Pathway",75
"264","Cell Cycle Checkpoints",0.288732394366197,"Pathway",66
"265","Cell Cycle, Mitotic",0.31701030927835,"Pathway",75
"266","Cell death signalling via NRAGE, NRIF and NADE",0.287921348314607,"Pathway",65
"267","Cell Differentiation - Index",0.260593220338983,"Pathway",15
"268","cell division",0.256820712694877,"BiologicalProcess",11
"269","cell division",0.256820712694877,"Pathway",11
"270","Cell junction organization",0.265620501007774,"Pathway",26
"271","Cell surface interactions at the vascular wall",0.290917691579943,"Pathway",68
"272","Cellular response to heat stress",0.280395136778116,"Pathway",54
"273","Cellular response to hypoxia",0.282975460122699,"Pathway",59
"274","Cellular responses to stress",0.3089417280643,"Pathway",74
"275","Cellular Senescence",0.293789808917197,"Pathway",70
"276","Centrosome maturation",0.274308652988403,"Pathway",44
"277","CEP192",0.344988780852655,"Gene",90
"278","CEP76",0.344859813084112,"Gene",90
"279","Ceramide signaling pathway",0.282801961986511,"Pathway",59
"280","CERK",0.359089139743091,"Gene",97
"281","Chaperonin-mediated protein folding",0.26863715783343,"Pathway",32
"282","Chemokine receptors bind chemokines",0.259712837837838,"Pathway",14
"283","CHL1 interactions",0.25978597578147,"Pathway",14
"284","CHMP1A",0.340154867256637,"Gene",76
"285","Cholesterol biosynthesis",0.270369284876905,"Pathway",35
"286","Cholesterol Biosynthesis",0.2701317715959,"Pathway",35
"287","Chondroitin sulfate/dermatan sulfate metabolism",0.267624020887728,"Pathway",29
"288","CHRFAM7A",0.340405904059041,"Gene",84
"289","CHRM1",0.295767874318692,"Gene",71
"290","CHRM2",0.29729294231389,"Gene",72
"291","CHRM3",0.310501514641535,"Gene",74
"292","CHRM4",0.293136320305052,"Gene",70
"293","CHRM5",0.293229497774952,"Gene",70
"294","CHRNA3",0.352637614678899,"Gene",94
"295","CHRNA4",0.346283783783784,"Gene",91
"296","CHRNA6",0.343319687383699,"Gene",88
"297","CHRNA7",0.345376263571696,"Gene",90
"298","CHRNB2",0.34758854559156,"Gene",91
"299","CHRNB4",0.229992520568437,"Gene",4
"300","Chromatin modifying enzymes",0.275619958171497,"Pathway",47
"301","Chromosome Maintenance",0.277777777777778,"Pathway",51
"302","Chylomicron-mediated lipid transport",0.271563143950545,"Pathway",38
"303","Circadian Clock",0.28828125,"Pathway",66
"304","Circadian rhythm pathway",0.255610972568579,"Pathway",10
"305","Circadian rythm related genes",0.296433161953727,"Pathway",72
"306","Citric acid cycle (TCA cycle)",0.269815735595203,"Pathway",34
"307","Class A/1 (Rhodopsin-like receptors)",0.279545454545455,"Pathway",53
"308","Class B/2 (Secretin family receptors)",0.272525849335303,"Pathway",40
"309","Class I MHC mediated antigen processing & presentation",0.288191190253046,"Pathway",66
"310","Class I PI3K signaling events",0.284283513097072,"Pathway",61
"311","Class I PI3K signaling events mediated by Akt",0.27636309167166,"Pathway",48
"312","Clathrin derived vesicle budding",0.25978597578147,"Pathway",14
"313","Clearance of dopamine",0.20961145194274,"Pathway",1
"314","Clearance of Nuclear Envelope Membranes from Chromatin",0.258765778401122,"Pathway",13
"315","Cleavage of Growing Transcript in the Termination Region",0.25639244024458,"Pathway",10
"316","Cleavage of the damaged purine",0.255257332595462,"Pathway",9
"317","Clonidine",0.298930654569021,"Compound",73
"318","CNOT2",0.343703427719821,"Gene",89
"319","Codeine and Morphine Metabolism",0.232250755287009,"Pathway",5
"320","COG7",0.340154867256637,"Gene",76
"321","COL11A1",0.253225363711227,"Gene",8
"322","COL9A3",0.350094876660342,"Gene",93
"323","COLGALT1",0.341035120147874,"Gene",85
"324","Collagen biosynthesis and modifying enzymes",0.26432664756447,"Pathway",23
"325","Collagen degradation",0.264933946008041,"Pathway",24
"326","Collagen formation",0.268872048965316,"Pathway",32
"327","Common Pathway",0.262446657183499,"Pathway",17
"328","Complement and Coagulation Cascades",0.258548206278027,"Pathway",12
"329","Complement cascade",0.258548206278027,"Pathway",12
"330","Composition of Lipid Particles",0.269973661106234,"Pathway",34
"331","Condensation of Prometaphase Chromosomes",0.256463719766472,"Pathway",10
"332","Condensation of Prophase Chromosomes",0.263722126929674,"Pathway",20
"333","Constitutive Androstane Receptor Pathway",0.284020935960591,"Pathway",60
"334","Constitutive PI3K/AKT Signaling in Cancer",0.28013969025205,"Pathway",54
"335","Constitutive Signaling by NOTCH1 HD Domain Mutants",0.286046511627907,"Pathway",63
"336","Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants",0.296337937680694,"Pathway",71
"337","Constitutive Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant",0.264099627827083,"Pathway",22
"338","Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase",0.268168604651163,"Pathway",30
"339","Cooperation of Prefoldin and TriC/CCT in actin and tubulin folding",0.268558951965066,"Pathway",31
"340","Copper homeostasis",0.271164021164021,"Pathway",37
"341","COPS3",0.340154867256637,"Gene",76
"342","Coregulation of Androgen receptor activity",0.267158992180712,"Pathway",27
"343","Cori Cycle",0.265162402989365,"Pathway",25
"344","Corticotropin-releasing hormone",0.287293677981937,"Pathway",65
"345","Costimulation by the CD28 family",0.285869228385497,"Pathway",63
"346","COX4I1",0.358113354037267,"Gene",97
"347","COX7B",0.358113354037267,"Gene",97
"348","COX8A",0.358252427184466,"Gene",97
"349","CRK",0.363332020480504,"Gene",99
"350","CRMPs in Sema3A signaling",0.269421728971963,"Pathway",33
"351","Cross-presentation of soluble exogenous antigens (endosomes)",0.273333333333333,"Pathway",42
"352","Crosslinking of collagen fibrils",0.25448275862069,"Pathway",9
"353","CRYZ",0.231958762886598,"Gene",5
"354","CTLA4 inhibitory signaling",0.271483225426722,"Pathway",38
"355","CTSD",0.347457627118644,"Gene",91
"356","CTSL",0.345247005988024,"Gene",90
"357","CXCR3-mediated signaling events",0.271164021164021,"Pathway",37
"358","CXCR4-mediated signaling events",0.290368271954674,"Pathway",67
"359","Cyclin A/B1 associated events during G2/M transition",0.273901425178147,"Pathway",43
"360","Cyclin A:Cdk2-associated events at S phase entry",0.295389048991354,"Pathway",71
"361","Cyclin B2 mediated events",0.257537688442211,"Pathway",11
"362","Cyclin D associated events in G1",0.28542698019802,"Pathway",63
"363","Cyclin E associated events during G1/S transition",0.294822627037392,"Pathway",70
"364","CYCS",0.363761829652997,"Gene",99
"365","CYP1A1",0.274880810488677,"Gene",46
"366","CYP1A2",0.291561314791403,"Gene",68
"367","CYP2A6",0.273090586145648,"Gene",41
"368","CYP2B6",0.270766069856178,"Gene",37
"369","CYP2C19",0.275290957923008,"Gene",47
"370","CYP2C8",0.27068661971831,"Gene",37
"371","CYP2C9",0.28099299421261,"Gene",54
"372","CYP2D6",0.290003143665514,"Gene",67
"373","CYP2E1",0.28150747635032,"Gene",55
"374","CYP2E1 reactions",0.227160797833046,"Pathway",4
"375","CYP3A4",0.29073432083202,"Gene",68
"376","CYP3A5",0.28393351800554,"Gene",60
"377","CYP51A1",0.275044722719141,"Gene",46
"378","CYTH1",0.34028033935817,"Gene",83
"379","Cytisine",0.262670842824601,"Compound",18
"380","Cytochrome P450 - arranged by substrate type",0.27895373450257,"Pathway",52
"381","Cytokine Signaling in Immune system",0.31832298136646,"Pathway",75
"382","Cytokines and Inflammatory Response",0.256749234622878,"Pathway",10
"383","Cytoplasmic Ribosomal Proteins",0.268558951965066,"Pathway",32
"384","Cytosolic iron-sulfur cluster assembly",0.262521343198634,"Pathway",17
"385","Cytosolic sensors of pathogen-associated DNA",0.289912005028284,"Pathway",67
"386","DAD1",0.341919940696812,"Gene",86
"387","DAP12 interactions",0.292671319796954,"Pathway",69
"388","DAP12 signaling",0.292671319796954,"Pathway",69
"389","DBP",0.342809364548495,"Gene",88
"390","DCC mediated attractive signaling",0.269185876860228,"Pathway",33
"391","DCTPP1",0.340154867256637,"Gene",76
"392","DDIT4",0.3603515625,"Gene",98
"393","DDX47",0.340154867256637,"Gene",76
"394","deactivation of the beta-catenin transactivating complex",0.281937652811736,"Pathway",56
"395","Deadenylation-dependent mRNA decay",0.255823627287854,"Pathway",10
"396","Deadenylation of mRNA",0.255823627287854,"Pathway",10
"397","DECR2",0.340154867256637,"Gene",76
"398","Defective AMN causes hereditary megaloblastic anemia 1",0.267004341534009,"Pathway",27
"399","Defective B3GAT3 causes JDSSDHD",0.270290067389393,"Pathway",35
"400","degradation of AXIN",0.282715292675452,"Pathway",58
"401","degradation of DVL",0.282715292675452,"Pathway",58
"402","Degradation of GLI1 by the proteasome",0.282715292675452,"Pathway",58
"403","Degradation of GLI2 by the proteasome",0.282715292675452,"Pathway",58
"404","Degradation of the extracellular matrix",0.278616732105104,"Pathway",51
"405","DENND3",0.340154867256637,"Gene",77
"406","Deposition of new CENPA-containing nucleosomes at the centromere",0.264250930965339,"Pathway",22
"407","Detoxification of Reactive Oxygen Species",0.267857142857143,"Pathway",29
"408","Developmental Biology",0.311234817813765,"Pathway",74
"409","DEx/H-box helicases activate type I IFN and inflammatory cytokines production",0.267158992180712,"Pathway",27
"410","DHCR7",0.274390243902439,"Gene",45
"411","DHX29",0.340154867256637,"Gene",77
"412","Diclofenac Metabolic Pathway",0.219799857040743,"Pathway",2
"413","Differentiation of white and brown adipocyte   ",0.271563143950545,"Pathway",38
"414","Differentiation Pathway",0.272043644942495,"Pathway",39
"415","DIRAS3",0.340154867256637,"Gene",77
"416","Direct p53 effectors",0.28306228904572,"Pathway",59
"417","disassembly of the destruction complex and recruitment of AXIN to the membrane",0.262670842824601,"Pathway",18
"418","Disease",0.362333071484682,"Pathway",99
"419","Diseases associated with visual transduction",0.276032315978456,"Pathway",48
"420","Displacement of DNA glycosylase by APE1",0.259347764970481,"Pathway",14
"421","Diurnally Regulated Genes with Circadian Orthologs",0.27895373450257,"Pathway",52
"422","DLD",0.280651049589291,"Gene",54
"423","DNA-PK pathway in nonhomologous end joining",0.258475763519193,"Pathway",12
"424","DNA Damage Response",0.280309936189608,"Pathway",54
"425","DNA Damage Response (only ATM dependent)",0.296433161953727,"Pathway",72
"426","DNA Damage/Telomere Stress Induced Senescence",0.274553571428571,"Pathway",45
"427","DNA methylation",0.263722126929674,"Pathway",20
"428","DNA Repair",0.292857142857143,"Pathway",70
"429","DNA Replication",0.288461538461538,"Pathway",66
"430","DNA Replication",0.288461538461538,"Pathway",66
"431","DNA Replication",0.291745730550285,"Pathway",69
"432","DNA Replication",0.291745730550285,"Pathway",69
"433","DNA Replication Pre-Initiation",0.286847014925373,"Pathway",65
"434","DNA strand elongation",0.273820124666073,"Pathway",43
"435","DNAJA3",0.232192298011578,"Gene",5
"436","DNAJB6",0.230164670658683,"Gene",5
"437","DNM1L",0.341413767579571,"Gene",86
"438","DNTTIP2",0.241176470588235,"Gene",6
"439","DOCK9",0.343191964285714,"Gene",88
"440","Dopamine metabolism",0.264175257731959,"Pathway",22
