"","name","Category"
"314","ADO","Gene"
"315","NCOA1","Gene"
"316","SS18L1","Gene"
"317","VAMP4","Gene"
"318","RSU1","Gene"
"319","OXSR1","Gene"
"320","LCP2","Gene"
"321","EIF4ENIF1","Gene"
"322","SYNGR3","Gene"
"323","LTN1","Gene"
"324","MGA","Gene"
"325","PPARGC1A","Gene"
"326","PRKCQ","Gene"
"327","DYRK1A","Gene"
"328","PTGS2","Gene"
"329","CASP2","Gene"
"330","MPP1","Gene"
"331","FOXO4","Gene"
"332","TFEB","Gene"
"333","C2CD2","Gene"
"334","NR3C1","Gene"
"335","GHR","Gene"
"336","SNX19","Gene"
"337","MAMLD1","Gene"
"338","LOXL1","Gene"
"339","GTPBP1","Gene"
"340","ATG3","Gene"
"341","TCTA","Gene"
"342","TBC1D19","Gene"
"343","MPP5","Gene"
"344","SCAPER","Gene"
"345","PTPN6","Gene"
"346","SCN1B","Gene"
"347","RMI1","Gene"
"348","HLA-DRA","Gene"
"349","PHIP","Gene"
"350","CAPN7","Gene"
"351","CCP110","Gene"
"352","CDH1","Gene"
"353","RECK","Gene"
"354","LAMA3","Gene"
"355","TECPR2","Gene"
"356","MICALL1","Gene"
"357","MYLK","Gene"
"358","SYK","Gene"
"359","ADGRE5","Gene"
"360","EVC","Gene"
"361","PLS1","Gene"
"362","NPR3","Gene"
"363","FAM188A","Gene"
"364","AFF1","Gene"
"365","SIPA1L1","Gene"
"366","ERAP2","Gene"
"367","STXBP1","Gene"
"368","MAPKAPK5","Gene"
"369","NFX1","Gene"
"370","UXS1","Gene"
"371","SPG11","Gene"
"372","SUV39H1","Gene"
"373","CAMSAP1","Gene"
"374","NOTCH1","Gene"
"375","B3GALNT1","Gene"
"376","FGF1","Gene"
"377","EGR1","Gene"
"378","DSG2","Gene"
"379","TAB2","Gene"
"380","LIPT1","Gene"
"381","RPS6KC1","Gene"
"382","GNAI2","Gene"
"383","FZD7","Gene"
"384","HMGA2","Gene"
"385","SVIL","Gene"
"386","NUDT6","Gene"
"387","EDEM1","Gene"
"388","NNT","Gene"
"389","CDC14B","Gene"
"390","HDAC5","Gene"
"391","ABCC5","Gene"
"392","EGR2","Gene"
"393","CAPN3","Gene"
"394","PLA2G15","Gene"
"395","MBTPS1","Gene"
"396","PIKFYVE","Gene"
"397","NFKB2","Gene"
"398","SMARCA2","Gene"
"399","CEP192","Gene"
"400","TJP2","Gene"
"401","PAK1","Gene"
"402","ZEB2","Gene"
"403","NOTCH2","Gene"
"404","REV3L","Gene"
"405","STAT5B","Gene"
"406","PPARD","Gene"
"407","COL9A3","Gene"
"408","HERC1","Gene"
"409","LPL","Gene"
"410","TIMM22","Gene"
"411","PAK6","Gene"
"412","ZNF518A","Gene"
"413","ST7","Gene"
"414","SLC43A3","Gene"
"415","FYN","Gene"
"416","GPATCH8","Gene"
"417","PSD4","Gene"
"418","PRCP","Gene"
"419","SOX10","Gene"
"420","HOOK2","Gene"
"421","SESN1","Gene"
"422","RBM6","Gene"
"423","SLC6A6","Gene"
"424","PER3","Gene"
"425","ARID4A","Gene"
"426","YTHDF1","Gene"
"427","ZNF516","Gene"
"428","DBP","Gene"
"429","PRKAG2","Gene"
"430","MAL","Gene"
"431","KANK1","Gene"
"432","UBR2","Gene"
"433","PLP1","Gene"
"434","TRAPPC10","Gene"
"435","RRP8","Gene"
"436","GATA3","Gene"
"437","VAV3","Gene"
"438","IRF5","Gene"
"439","IKZF1","Gene"
"440","PIP4K2A","Gene"
"441","GAS7","Gene"
"442","APLP2","Gene"
"443","LYST","Gene"
"444","PIP5K1B","Gene"
"445","RRAGD","Gene"
"446","PARD3","Gene"
"447","METTL4","Gene"
"448","NPAT","Gene"
"449","PROS1","Gene"
"450","TBX2","Gene"
"451","LAMA5","Gene"
"452","KRT34","Gene"
"453","ZNF248","Gene"
"454","MCM3AP","Gene"
"455","ERBB3","Gene"
"456","FOXO3","Gene"
"457","DHX29","Gene"
"458","SPTLC2","Gene"
"459","EVL","Gene"
"460","STAM2","Gene"
"461","YME1L1","Gene"
"462","PFKL","Gene"
"463","DIRAS3","Gene"
"464","MUC1","Gene"
"465","ABHD6","Gene"
"466","WIPF1","Gene"
"467","PNKP","Gene"
"468","MFAP3L","Gene"
"469","RIN3","Gene"
"470","VLDLR","Gene"
"471","ME2","Gene"
"472","PWP2","Gene"
"473","INPP4B","Gene"
"474","TATDN2","Gene"
"475","PDIA5","Gene"
"476","CERK","Gene"
"477","APPL1","Gene"
"478","MALT1","Gene"
"479","ZBTB48","Gene"
"480","PAX8","Gene"
"481","WASF3","Gene"
"482","ITGB3","Gene"
"483","NOV","Gene"
"484","SGMS1","Gene"
"485","ANKS1A","Gene"
"486","DOCK9","Gene"
"487","KIAA1109","Gene"
"488","USP6NL","Gene"
"489","SMCHD1","Gene"
"490","DENND3","Gene"
"491","CYTH1","Gene"
"492","GRAMD4","Gene"
"493","ING1","Gene"
"494","PRUNE","Gene"
"495","KIT","Gene"
"496","SYNJ1","Gene"
"497","KLHL21","Gene"
"498","PRPF18","Gene"
"499","STAT5A","Gene"
"500","GK","Gene"
"501","ANKRD17","Gene"
"502","RALB","Gene"
"503","WDR37","Gene"
"504","BCL2","Gene"
"505","SON","Gene"
"506","SCYL3","Gene"
"507","HLA-DMA","Gene"
"508","IGF2BP2","Gene"
"509","SATB1","Gene"
"510","CEP76","Gene"
"511","FBXL5","Gene"
"512","KAT6B","Gene"
"513","EYA2","Gene"
"514","SLC19A2","Gene"
"515","PMM2","Gene"
"516","TIMP1","Gene"
"517","DNAJB6","Gene"
"518","EEF1A2","Gene"
"519","DNAJA3","Gene"
"520","GRB7","Gene"
"521","GJA1","Gene"
"522","CAST","Gene"
"523","ADM","Gene"
"524","TRIB3","Gene"
"525","SLC22A1","Gene"
"526","ABCB1","Gene"
"527","CYP1A1","Gene"
"528","ADRA2A","Gene"
"529","ADRA2B","Gene"
"530","NISCH","Gene"
"531","SLC22A4","Gene"
"532","ADRA2C","Gene"
"533","SLC22A3","Gene"
"534","SLC22A5","Gene"
"535","EPHA3","Gene"
"536","CHRNB4","Gene"
"537","ATP6V0B","Gene"
"538","USP22","Gene"
"539","LDHB","Gene"
"540","HDAC6","Gene"
"541","ADI1","Gene"
"542","ABCF3","Gene"
"543","RPS4Y1","Gene"
"544","TXNDC9","Gene"
"545","RRP1B","Gene"
"546","CRYZ","Gene"
"547","MRPL19","Gene"
"548","KIF2C","Gene"
"549","SLC35F2","Gene"
"550","ATP6V1D","Gene"
"551","PSMG1","Gene"
"552","WRB","Gene"
"553","SLC25A4","Gene"
"554","CYP2A6","Gene"
"555","CYP2C8","Gene"
"556","SLC6A3","Gene"
"557","CYP2B6","Gene"
"558","NFKBIE","Gene"
"559","COL11A1","Gene"
"560","GPER1","Gene"
"561","ERBB2","Gene"
"562","PPFIBP2","Gene"
"563","SOX17","Gene"
"564","PTPRE","Gene"
"565","NRAS","Gene"
"566","KRAS","Gene"
"567","SLC5A5","Gene"
"568","KRT20","Gene"
"569","ARID1A","Gene"
"570","SCRT1","Gene"
"571","MSLN","Gene"
"572","IDH2","Gene"
"573","BAP1","Gene"
"574","MUC4","Gene"
"575","SMAD4","Gene"
"576","NOS2","Gene"
"577","KRT7","Gene"
"578","KRT19","Gene"
"579","MBD2","Gene"
"580","TP53","Gene"
"581","IL6","Gene"
"582","PEG3","Gene"
"583","RNF43","Gene"
"584","MMP2","Gene"
"585","MUC2","Gene"
"586","PBRM1","Gene"
"587","TGFB1","Gene"
"588","TCFL5","Gene"
"589","MET","Gene"
"590","HRAS","Gene"
"591","MMP9","Gene"
"592","IDH1","Gene"
"593","KMT2C","Gene"
"594","TGFBR2","Gene"
"595","HGF","Gene"
"596","TNC","Gene"
"597","ROBO2","Gene"
"598","EGFR","Gene"
"599","FAR2","Gene"
"600","PDE7B","Gene"
"601","PDE4D","Gene"
"602","PDE4A","Gene"
"603","PDE4B","Gene"
"604","PDE8A","Gene"
"605","PDE8B","Gene"
"606","CYP3A7-CYP3A51P","Gene"
"607","CYP3A7","Gene"
"608","KCNH2","Gene"
"609","H1F0","Gene"
"610","HTR7","Gene"
"611","GAA","Gene"
"612","SI","Gene"
"613","MGAM","Gene"
"614","FLT4","Gene"
"615","STK16","Gene"
"616","PDGFRB","Gene"
"617","SLCO1B1","Gene"
"618","PI4KB","Gene"
"619","RIOK2","Gene"
"620","MAP3K2","Gene"
"621","MAP3K9","Gene"
"622","TAOK1","Gene"
"623","UGT1A1","Gene"
"624","LIMK2","Gene"
"625","PDGFRA","Gene"
"626","TAOK3","Gene"
"627","BMPR1B","Gene"
"628","CSF1R","Gene"
"629","EPHB6","Gene"
"630","LYN","Gene"
"631","FGFR2","Gene"
"632","SH2B3","Gene"
"633","LCK","Gene"
"634","FLT1","Gene"
"635","AURKC","Gene"
"636","PLK4","Gene"
"637","STK36","Gene"
"638","MAP2K5","Gene"
"639","ITK","Gene"
"640","STK10","Gene"
"641","PIP4K2C","Gene"
"642","KDR","Gene"
"643","FGFR1","Gene"
"644","ABCG2","Gene"
"645","FGFR3","Gene"
"646","SPTLC1","Gene"
"647","SARS","Gene"
"648","CBS","Gene"
"649","SLC16A10","Gene"
"650","SRR","Gene"
"651","SDS","Gene"
"652","AGXT","Gene"
"653","TYMP","Gene"
"654","SLC15A1","Gene"
"655","SLC15A2","Gene"
"656","MPO","Gene"
"657","UGT2B4","Gene"
"658","UGT2B7","Gene"
"659","CHRNB1","Gene"
"660","IKBKB","Gene"
"661","ACY1","Gene"
"662","CHUK","Gene"
"663","GSS","Gene"
"664","SLC7A11","Gene"
"665","TOP2A","Gene"
"666","ATP1B2","Gene"
"667","FXYD2","Gene"
"668","ATP1A2","Gene"
"669","ATP1A3","Gene"
"670","ATP1B3","Gene"
"671","ATP1A1","Gene"
"672","ABCC3","Gene"
"673","CACNB2","Gene"
"674","CACNA1C","Gene"
"675","ABCC2","Gene"
"676","CALM3","Gene"
"677","CALM2","Gene"
"678","CACNA2D1","Gene"
"679","CALM1","Gene"
"680","CACNA1D","Gene"
"681","CACNA1H","Gene"
"682","ESR1","Gene"
"683","SHBG","Gene"
"684","PGR","Gene"
"685","PLG","Gene"
"686","NOS3","Gene"
"687","PAH","Gene"
"688","TH","Gene"
"689","TLR7","Gene"
"690","GABRA2","Gene"
"691","SLCO1B3","Gene"
"692","PPARG","Gene"
"693","SCN9A","Gene"
"694","SCN10A","Gene"
"695","AOX1","Gene"
"696","CYP11B2","Gene"
"697","AR","Gene"
"698","NR3C2","Gene"
"699","SLCO1A2","Gene"
"700","SLC36A1","Gene"
"701","ABCC1","Gene"
"702","SLCO3A1","Gene"
"703","SLC22A7","Gene"
"704","SLC22A11","Gene"
"705","SLC16A1","Gene"
"706","RARA","Gene"
"707","RARB","Gene"
"708","PDE3A","Gene"
"709","ADORA1","Gene"
"710","ADORA2A","Gene"
"711","NFATC1","Gene"
"712","IL2","Gene"
"713","TNF","Gene"
"714","MAOA","Gene"
"715","ABCC4","Gene"
"716","NEU1","Gene"
"717","CES1","Gene"
"718","CACNB1","Gene"
"719","PIK3R1","Gene"
"720","PIK3R3","Gene"
"721","ADRBK1","Gene"
"722","MAPK1","Gene"
"723","VKORC1","Gene"
"724","RYR1","Gene"
"725","CYP1B1","Gene"
"726","PIK3CB","Gene"
"727","PIK3CD","Gene"
"728","PIK3CA","Gene"
"729","ATM","Gene"
"730","PRKDC","Gene"
"731","SRPK2","Gene"
"732","ACP1","Gene"
"733","ACACB","Gene"
"734","PECR","Gene"
"735","MTAP","Gene"
"736","GSTA2","Gene"
"737","GSTA1","Gene"
"738","GSTM1","Gene"
"739","XDH","Gene"
"740","TPMT","Gene"
"741","HPRT1","Gene"
"742","ACE","Gene"
"743","VDR","Gene"
"744","GABRR2","Gene"
"745","GABRB3","Gene"
"746","GABRE","Gene"
"747","CYP11A1","Gene"
"748","SERPINA6","Gene"
"749","FDX1","Gene"
"750","AMY2A","Gene"
"751","AMY1A","Gene"
"752","AMY1C","Gene"
"753","AMY1B","Gene"
"754","CD55","Gene"
"755","SCN3A","Gene"
"756","BCHE","Gene"
"757","CACNA1I","Gene"
"758","AGTR1","Gene"
"759","JUN","Gene"
"760","UGT1A3","Gene"
"761","EDNRA","Gene"
"762","CRABP2","Gene"
"763","ALDH1A2","Gene"
"764","RXRB","Gene"
"765","CYP4A11","Gene"
"766","RXRA","Gene"
"767","CYP2C18","Gene"
"768","ALDH1A1","Gene"
"769","RARRES1","Gene"
"770","RARG","Gene"
"771","SLC9A1","Gene"
"772","SCNN1A","Gene"
"773","AOC1","Gene"
"774","SCNN1D","Gene"
"775","SCNN1B","Gene"
"776","ASIC1","Gene"
"777","PLAU","Gene"
"778","CYSLTR1","Gene"
"779","SLC25A32","Gene"
"780","FOLR2","Gene"
"781","ABCC11","Gene"
"782","MTHFR","Gene"
"783","FOLR3","Gene"
"784","GGH","Gene"
"785","SLC46A1","Gene"
"786","SIGMAR1","Gene"
"787","CA9","Gene"
"788","CA5B","Gene"
"789","CA1","Gene"
"790","CA14","Gene"
"791","CA4","Gene"
"792","CA2","Gene"
"793","CA5A","Gene"
"794","ABCB4","Gene"
"795","GMPS","Gene"
"796","GLS2","Gene"
"797","TGM5","Gene"
"798","GFPT2","Gene"
"799","SLC1A5","Gene"
"800","PFAS","Gene"
"801","F13A1","Gene"
"802","CCBL1","Gene"
"803","QARS","Gene"
"804","GLS","Gene"
"805","GATB","Gene"
"806","PPAT","Gene"
"807","GLUL","Gene"
"808","SLC7A8","Gene"
"809","ASNS","Gene"
"810","SLC38A3","Gene"
"811","TGM1","Gene"
"812","CTPS1","Gene"
"813","CAD","Gene"
"814","TGM2","Gene"
"815","NADSYN1","Gene"
"816","HTR2B","Gene"
"817","TSPO","Gene"
"818","VDAC3","Gene"
"819","VDAC2","Gene"
"820","VDAC1","Gene"
"821","TNNC1","Gene"
"822","KCNJ11","Gene"
"823","SLCO2B1","Gene"
"824","ABCC8","Gene"
"825","COMT","Gene"
"826","SLC52A2","Gene"
"827","SLC16A3","Gene"
"828","SLC16A7","Gene"
"829","SLC1A1","Gene"
"830","CACNA2D2","Gene"
"831","NAT2","Gene"
"832","DDC","Gene"
"833","CCR1","Gene"
"834","TACR1","Gene"
"835","ACHE","Gene"
"836","CDO1","Gene"
"837","MGMT","Gene"
"838","CSAD","Gene"
"839","SLC19A3","Gene"
"840","CARS","Gene"
"841","CARS2","Gene"
"842","GOT1","Gene"
"843","GCLC","Gene"
"844","NFS1","Gene"
"845","CTH","Gene"
"846","GCLM","Gene"
"847","TUBB","Gene"
"848","DPP4","Gene"
"849","AHR","Gene"
"850","PROC","Gene"
"851","CKB","Gene"
"852","GAMT","Gene"
"853","CKMT2","Gene"
"854","CKM","Gene"
"855","SLC6A8","Gene"
"856","PDE5A","Gene"
"857","MAOB","Gene"
"858","CYP2J2","Gene"
"859","CAMK1D","Gene"
"860","DAPK3","Gene"
"861","JAK1","Gene"
"862","PRKG2","Gene"
"863","PHKG2","Gene"
"864","JAK3","Gene"
"865","LRRK2","Gene"
"866","RPS6KA6","Gene"
"867","HIPK2","Gene"
"868","PLK1","Gene"
"869","LTK","Gene"
"870","CAMK1","Gene"
"871","BMPR2","Gene"
"872","RET","Gene"
"873","ROCK1","Gene"
"874","MAP3K7","Gene"
"875","CAMK2G","Gene"
"876","BMP2K","Gene"
"877","DCLK1","Gene"
"878","PLK3","Gene"
"879","TAOK2","Gene"
"880","DAPK2","Gene"
"881","MAP3K3","Gene"
"882","JAK2","Gene"
"883","MARK2","Gene"
"884","TYK2","Gene"
"885","CLK2","Gene"
"886","MKNK2","Gene"
"887","PRKCE","Gene"
"888","NUAK2","Gene"
"889","CACNA1B","Gene"
"890","ABCB11","Gene"
"891","CACNB3","Gene"
"892","ABCC10","Gene"
"893","NME2","Gene"
"894","AK4","Gene"
"895","NME1-NME2","Gene"
"896","AK2","Gene"
"897","KCNK10","Gene"
"898","ATP2C1","Gene"
"899","KCNK2","Gene"
"900","KCNN4","Gene"
"901","KCNK3","Gene"
"902","ATP5D","Gene"
"903","CRBN","Gene"
"904","KCNMA1","Gene"
"905","CREB1","Gene"
"906","TLR4","Gene"
"907","NR1I2","Gene"
"908","SLK","Gene"
"909","ULK3","Gene"
"910","TNK1","Gene"
"911","ABL1","Gene"
"912","FLT3","Gene"
"913","MKNK1","Gene"
"914","ABL2","Gene"
"915","POR","Gene"
"916","PTGFR","Gene"
"917","TUBB2A","Gene"
"918","MAP4","Gene"
"919","CYP19A1","Gene"
"920","TUBB2B","Gene"
"921","TUBB4A","Gene"
"922","MAP2","Gene"
"923","TUBB4B","Gene"
"924","MAPT","Gene"
"925","POLA1","Gene"
"926","CMPK1","Gene"
"927","CDA","Gene"
"928","RRM1","Gene"
"929","POLD1","Gene"
"930","SLC29A1","Gene"
"931","DCK","Gene"
"932","RRM2","Gene"
"933","SLC28A1","Gene"
"934","SLC28A3","Gene"
"935","POLE","Gene"
"936","SLC29A2","Gene"
"937","CA3","Gene"
"938","HCN3","Gene"
"939","LTA4H","Gene"
"940","F2","Gene"
"941","REN","Gene"
"942","ITGB2","Gene"
"943","PPARA","Gene"
"944","RAF1","Gene"
"945","LIMK1","Gene"
"946","NEK11","Gene"
"947","BRAF","Gene"
"948","SIK1","Gene"
"949","ARSA","Gene"
"950","CACNA2D3","Gene"
"951","GALE","Gene"
"952","DGAT1","Gene"
"953","STAT3","Gene"
"954","HRH2","Gene"
"955","EDNRB","Gene"
"956","KCND3","Gene"
"957","NTRK2","Gene"
"958","CLCN2","Gene"
"959","CBR1","Gene"
"960","TOP2B","Gene"
"961","CYP17A1","Gene"
"962","SULT2A1","Gene"
"963","ANXA1","Gene"
"964","CAMLG","Gene"
"965","FKBP1A","Gene"
"966","PPP3CA","Gene"
"967","PPID","Gene"
"968","SLC10A2","Gene"
"969","FKBP1B","Gene"
"970","SLC10A1","Gene"
"971","PPIA","Gene"
"972","PPIF","Gene"
"973","NPY1R","Gene"
"974","PTPRS","Gene"
"975","ATP6V1A","Gene"
"976","PTPN4","Gene"
"977","SLC16A2","Gene"
"978","SLCO4A1","Gene"
"979","SLCO1C1","Gene"
"980","THRA","Gene"
"981","TTR","Gene"
"982","SLCO4C1","Gene"
"983","SLC7A5","Gene"
"984","SERPINA7","Gene"
"985","THRB","Gene"
"986","POU2F2","Gene"
"987","CXCL8","Gene"
"988","CXCR1","Gene"
"989","PLA2G2A","Gene"
"990","ALOX5","Gene"
"991","SLC47A1","Gene"
"992","SRC","Gene"
"993","ACVR1","Gene"
"994","FGR","Gene"
"995","AURKA","Gene"
"996","TNK2","Gene"
"997","MAP4K1","Gene"
"998","IKBKE","Gene"
"999","FER","Gene"
"1000","SIK2","Gene"
"1001","RIPK2","Gene"
"1002","PRKD1","Gene"
"1003","IGF1R","Gene"
"1004","MAPK7","Gene"
"1005","TXK","Gene"
"1006","CASK","Gene"
"1007","YES1","Gene"
"1008","MAP4K5","Gene"
"1009","MAP4K2","Gene"
"1010","TIE1","Gene"
"1011","MAP3K12","Gene"
"1012","EPHB4","Gene"
"1013","EPHA2","Gene"
"1014","STK3","Gene"
"1015","NEK9","Gene"
"1016","PTK2","Gene"
